id,metric_key,metric_name_id,event_names,source_table,aggregation_method,default_window,data_type,reset_policy,privacy_level,anti_farming_rule_id,notes
ach_metric_001,adjective_conjugation_accuracy,Adjective Conjugation Accuracy,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_quiz_attempts,latest_or_weighted_average,lifetime,float_percent,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_002,calendar_time_accuracy,Calendar Time Accuracy,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_quiz_attempts,latest_or_weighted_average,lifetime,float_percent,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_003,comeback_after_break_count,Comeback After Break Count,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_004,counter_accuracy,Counter Accuracy,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_quiz_attempts,latest_or_weighted_average,lifetime,float_percent,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_005,current_streak_days,Current Streak Days,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,current_consecutive_days,lifetime,integer_days,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_006,daily_challenges_completed,Daily Challenges Completed,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_007,dakuten_handakuten_completed,Dakuten Handakuten Completed,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_008,full_mock_score,Full Mock Score,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_mock_attempts,latest_or_weighted_average,lifetime,float_percent,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_009,grammar_completed_count,Grammar Completed Count,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_lesson_progress|user_srs_cards,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_010,hiragana_basic_completed,Hiragana Basic Completed,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_011,kana_mastery_gate_score,Kana Mastery Gate Score,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,latest_or_weighted_average,lifetime,float_percent,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_012,kana_typing_accuracy,Kana Typing Accuracy,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_quiz_attempts,latest_or_weighted_average,lifetime,float_percent,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_013,kanji_known_count,Kanji Known Count,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_lesson_progress|user_srs_cards,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_014,katakana_basic_completed,Katakana Basic Completed,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_015,late_night_sessions,Late Night Sessions,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_016,leeches_recovered,Leeches Recovered,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_017,lessons_completed,Lessons Completed,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_018,listening_tasks_completed,Listening Tasks Completed,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_019,mock_grammar_reading_score,Mock Grammar Reading Score,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_mock_attempts,latest_or_weighted_average,lifetime,float_percent,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_020,mock_listening_score,Mock Listening Score,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_mock_attempts,latest_or_weighted_average,lifetime,float_percent,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_021,mock_vocab_score,Mock Vocab Score,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_mock_attempts,latest_or_weighted_average,lifetime,float_percent,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_022,n5_readiness_score,N5 Readiness Score,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,latest_or_weighted_average,lifetime,float_percent,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_023,numbers_0_100_completed,Numbers 0 100 Completed,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_024,overall_quiz_accuracy,Overall Quiz Accuracy,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_quiz_attempts,latest_or_weighted_average,lifetime,float_percent,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_025,particle_checkpoint_score,Particle Checkpoint Score,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,latest_or_weighted_average,lifetime,float_percent,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_026,perfect_quiz_count,Perfect Quiz Count,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_quiz_attempts,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_027,placement_tests_completed,Placement Tests Completed,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_028,previous_mistakes_mastered,Previous Mistakes Mastered,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_029,quizzes_completed,Quizzes Completed,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_quiz_attempts,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_030,radicals_known_count,Radicals Known Count,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_031,reading_tasks_completed,Reading Tasks Completed,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_032,roadmap_completion_percent,Roadmap Completion Percent,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,latest_or_weighted_average,lifetime,float_percent,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_033,romaji_hidden_days,Romaji Hidden Days,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_034,srs_reviews_completed,Srs Reviews Completed,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_srs_reviews|user_srs_cards,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_035,srs_zero_due_days,Srs Zero Due Days,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_srs_reviews|user_srs_cards,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_036,stroke_order_drills_completed,Stroke Order Drills Completed,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_037,te_form_lessons_completed,Te Form Lessons Completed,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_038,verb_conjugation_accuracy,Verb Conjugation Accuracy,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_quiz_attempts,latest_or_weighted_average,lifetime,float_percent,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_039,vocab_known_adjective,Vocab Known Adjective,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_lesson_progress|user_srs_cards,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_040,vocab_known_count,Vocab Known Count,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_lesson_progress|user_srs_cards,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_041,vocab_known_food,Vocab Known Food,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_lesson_progress|user_srs_cards,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_042,vocab_known_people,Vocab Known People,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_lesson_progress|user_srs_cards,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_043,vocab_known_place,Vocab Known Place,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_lesson_progress|user_srs_cards,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_044,vocab_known_time,Vocab Known Time,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_lesson_progress|user_srs_cards,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_045,vocab_known_verb,Vocab Known Verb,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_lesson_progress|user_srs_cards,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
ach_metric_046,yoon_completed,Yoon Completed,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,user_event_log,sum_or_distinct_count,lifetime,integer_count,never_reset_for_badges,private_user_metric,anti_farm_default,Metric used by achievement trigger rules.
