id,jlpt_level,set_type,display_order,counter_id,counter_symbol,counter_category,number_value,form_kanji,reading_kana,romaji,reading_alt_kana,romaji_alt,meaning_id,example_noun_jp,example_phrase_jp,example_sentence_jp,example_sentence_id,is_irregular,is_common,recommended_for_quiz,source_url,notes
cnt_form_n5_0001,N5,counter_form_n5,1,ctr_tsu,つ,general_objects,1,一つ,ひとつ,hitotsu,,,satu buah,りんご,りんご一つ,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0002,N5,counter_form_n5,2,ctr_tsu,つ,general_objects,2,二つ,ふたつ,futatsu,,,dua buah,りんご,りんご二つ,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0003,N5,counter_form_n5,3,ctr_tsu,つ,general_objects,3,三つ,みっつ,mittsu,,,tiga buah,りんご,りんご三つ,りんごを三つ買いました。,Saya membeli tiga apel.,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0004,N5,counter_form_n5,4,ctr_tsu,つ,general_objects,4,四つ,よっつ,yottsu,,,empat buah,りんご,りんご四つ,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0005,N5,counter_form_n5,5,ctr_tsu,つ,general_objects,5,五つ,いつつ,itsutsu,,,lima buah,りんご,りんご五つ,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0006,N5,counter_form_n5,6,ctr_tsu,つ,general_objects,6,六つ,むっつ,muttsu,,,enam buah,りんご,りんご六つ,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0007,N5,counter_form_n5,7,ctr_tsu,つ,general_objects,7,七つ,ななつ,nanatsu,,,tujuh buah,りんご,りんご七つ,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0008,N5,counter_form_n5,8,ctr_tsu,つ,general_objects,8,八つ,やっつ,yattsu,,,delapan buah,りんご,りんご八つ,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0009,N5,counter_form_n5,9,ctr_tsu,つ,general_objects,9,九つ,ここのつ,kokonotsu,,,sembilan buah,りんご,りんご九つ,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0010,N5,counter_form_n5,10,ctr_tsu,つ,general_objects,10,十,とお,too,,,sepuluh buah,りんご,りんご十,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0011,N5,counter_form_n5,11,ctr_tsu,つ,general_objects,how_many,いくつ,いくつ,ikutsu,,,berapa buah,りんご,りんごはいくつですか,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0012,N5,counter_form_n5,12,ctr_ko,個,general_objects,1,一個,いっこ,ikko,,,satu item kecil,卵,卵一個,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0013,N5,counter_form_n5,13,ctr_ko,個,general_objects,2,二個,にこ,niko,,,dua item kecil,卵,卵二個,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0014,N5,counter_form_n5,14,ctr_ko,個,general_objects,3,三個,さんこ,sanko,,,tiga item kecil,卵,卵三個,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0015,N5,counter_form_n5,15,ctr_ko,個,general_objects,4,四個,よんこ,yonko,,,empat item kecil,卵,卵四個,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0016,N5,counter_form_n5,16,ctr_ko,個,general_objects,5,五個,ごこ,goko,,,lima item kecil,卵,卵五個,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0017,N5,counter_form_n5,17,ctr_ko,個,general_objects,6,六個,ろっこ,rokko,,,enam item kecil,卵,卵六個,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0018,N5,counter_form_n5,18,ctr_ko,個,general_objects,7,七個,ななこ,nanako,,,tujuh item kecil,卵,卵七個,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0019,N5,counter_form_n5,19,ctr_ko,個,general_objects,8,八個,はっこ,hakko,,,delapan item kecil,卵,卵八個,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0020,N5,counter_form_n5,20,ctr_ko,個,general_objects,9,九個,きゅうこ,kyuuko,,,sembilan item kecil,卵,卵九個,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0021,N5,counter_form_n5,21,ctr_ko,個,general_objects,10,十個,じゅっこ,jukko,じっこ,jikko,sepuluh item kecil,卵,卵十個,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0022,N5,counter_form_n5,22,ctr_ko,個,general_objects,100,百個,ひゃっこ,hyakko,,,seratus item kecil,卵,卵百個,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0023,N5,counter_form_n5,23,ctr_ko,個,general_objects,how_many,何個,なんこ,nanko,,,berapa item kecil,卵,卵は何個ですか,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0024,N5,counter_form_n5,24,ctr_nin,人,people,1,一人,ひとり,hitori,,,satu orang,学生,学生一人,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0025,N5,counter_form_n5,25,ctr_nin,人,people,2,二人,ふたり,futari,,,dua orang,学生,学生二人,友達が二人います。,Ada dua teman.,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0026,N5,counter_form_n5,26,ctr_nin,人,people,3,三人,さんにん,sannin,,,tiga orang,学生,学生三人,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0027,N5,counter_form_n5,27,ctr_nin,人,people,4,四人,よにん,yonin,,,empat orang,学生,学生四人,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0028,N5,counter_form_n5,28,ctr_nin,人,people,5,五人,ごにん,gonin,,,lima orang,学生,学生五人,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0029,N5,counter_form_n5,29,ctr_nin,人,people,6,六人,ろくにん,rokunin,,,enam orang,学生,学生六人,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0030,N5,counter_form_n5,30,ctr_nin,人,people,7,七人,ななにん,nananin,しちにん,shichinin,tujuh orang,学生,学生七人,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0031,N5,counter_form_n5,31,ctr_nin,人,people,8,八人,はちにん,hachinin,,,delapan orang,学生,学生八人,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0032,N5,counter_form_n5,32,ctr_nin,人,people,9,九人,きゅうにん,kyuunin,,,sembilan orang,学生,学生九人,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0033,N5,counter_form_n5,33,ctr_nin,人,people,10,十人,じゅうにん,juunin,,,sepuluh orang,学生,学生十人,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0034,N5,counter_form_n5,34,ctr_nin,人,people,how_many,何人,なんにん,nannin,,,berapa orang,学生,学生は何人ですか,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0035,N5,counter_form_n5,35,ctr_mai,枚,flat_objects,1,一枚,いちまい,ichimai,,,satu lembar,切符,切符一枚,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0036,N5,counter_form_n5,36,ctr_mai,枚,flat_objects,2,二枚,にまい,nimai,,,dua lembar,切符,切符二枚,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0037,N5,counter_form_n5,37,ctr_mai,枚,flat_objects,3,三枚,さんまい,sanmai,,,tiga lembar,切符,切符三枚,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0038,N5,counter_form_n5,38,ctr_mai,枚,flat_objects,4,四枚,よんまい,yonmai,,,empat lembar,切符,切符四枚,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0039,N5,counter_form_n5,39,ctr_mai,枚,flat_objects,5,五枚,ごまい,gomai,,,lima lembar,切符,切符五枚,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0040,N5,counter_form_n5,40,ctr_mai,枚,flat_objects,6,六枚,ろくまい,rokumai,,,enam lembar,切符,切符六枚,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0041,N5,counter_form_n5,41,ctr_mai,枚,flat_objects,7,七枚,ななまい,nanamai,,,tujuh lembar,切符,切符七枚,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0042,N5,counter_form_n5,42,ctr_mai,枚,flat_objects,8,八枚,はちまい,hachimai,,,delapan lembar,切符,切符八枚,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0043,N5,counter_form_n5,43,ctr_mai,枚,flat_objects,9,九枚,きゅうまい,kyuumai,,,sembilan lembar,切符,切符九枚,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0044,N5,counter_form_n5,44,ctr_mai,枚,flat_objects,10,十枚,じゅうまい,juumai,,,sepuluh lembar,切符,切符十枚,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0045,N5,counter_form_n5,45,ctr_mai,枚,flat_objects,how_many,何枚,なんまい,nanmai,,,berapa lembar,切符,切符は何枚ですか,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0046,N5,counter_form_n5,46,ctr_hon,本,long_objects,1,一本,いっぽん,ippon,,,satu benda panjang,ペン,ペン一本,ペンを一本ください。,Tolong beri saya satu pena.,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0047,N5,counter_form_n5,47,ctr_hon,本,long_objects,2,二本,にほん,nihon,,,dua benda panjang,ペン,ペン二本,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0048,N5,counter_form_n5,48,ctr_hon,本,long_objects,3,三本,さんぼん,sanbon,,,tiga benda panjang,ペン,ペン三本,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0049,N5,counter_form_n5,49,ctr_hon,本,long_objects,4,四本,よんほん,yonhon,,,empat benda panjang,ペン,ペン四本,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0050,N5,counter_form_n5,50,ctr_hon,本,long_objects,5,五本,ごほん,gohon,,,lima benda panjang,ペン,ペン五本,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0051,N5,counter_form_n5,51,ctr_hon,本,long_objects,6,六本,ろっぽん,roppon,,,enam benda panjang,ペン,ペン六本,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0052,N5,counter_form_n5,52,ctr_hon,本,long_objects,7,七本,ななほん,nanahon,,,tujuh benda panjang,ペン,ペン七本,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0053,N5,counter_form_n5,53,ctr_hon,本,long_objects,8,八本,はっぽん,happon,,,delapan benda panjang,ペン,ペン八本,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0054,N5,counter_form_n5,54,ctr_hon,本,long_objects,9,九本,きゅうほん,kyuuhon,,,sembilan benda panjang,ペン,ペン九本,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0055,N5,counter_form_n5,55,ctr_hon,本,long_objects,10,十本,じゅっぽん,juppon,じっぽん,jippon,sepuluh benda panjang,ペン,ペン十本,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0056,N5,counter_form_n5,56,ctr_hon,本,long_objects,100,百本,ひゃっぽん,hyappon,,,seratus benda panjang,ペン,ペン百本,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0057,N5,counter_form_n5,57,ctr_hon,本,long_objects,how_many,何本,なんぼん,nanbon,,,berapa benda panjang,ペン,ペンは何本ですか,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0058,N5,counter_form_n5,58,ctr_satsu,冊,books,1,一冊,いっさつ,issatsu,,,satu buku,本,本一冊,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0059,N5,counter_form_n5,59,ctr_satsu,冊,books,2,二冊,にさつ,nisatsu,,,dua buku,本,本二冊,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0060,N5,counter_form_n5,60,ctr_satsu,冊,books,3,三冊,さんさつ,sansatsu,,,tiga buku,本,本三冊,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0061,N5,counter_form_n5,61,ctr_satsu,冊,books,4,四冊,よんさつ,yonsatsu,,,empat buku,本,本四冊,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0062,N5,counter_form_n5,62,ctr_satsu,冊,books,5,五冊,ごさつ,gosatsu,,,lima buku,本,本五冊,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0063,N5,counter_form_n5,63,ctr_satsu,冊,books,6,六冊,ろくさつ,rokusatsu,,,enam buku,本,本六冊,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0064,N5,counter_form_n5,64,ctr_satsu,冊,books,7,七冊,ななさつ,nanasatsu,,,tujuh buku,本,本七冊,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0065,N5,counter_form_n5,65,ctr_satsu,冊,books,8,八冊,はっさつ,hassatsu,はちさつ,hachisatsu,delapan buku,本,本八冊,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0066,N5,counter_form_n5,66,ctr_satsu,冊,books,9,九冊,きゅうさつ,kyuusatsu,,,sembilan buku,本,本九冊,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0067,N5,counter_form_n5,67,ctr_satsu,冊,books,10,十冊,じゅっさつ,jussatsu,じっさつ,jissatsu,sepuluh buku,本,本十冊,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0068,N5,counter_form_n5,68,ctr_satsu,冊,books,how_many,何冊,なんさつ,nansatsu,,,berapa buku,本,本は何冊ですか,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0069,N5,counter_form_n5,69,ctr_dai,台,machines_vehicles,1,一台,いちだい,ichidai,,,satu mesin/kendaraan,車,車一台,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0070,N5,counter_form_n5,70,ctr_dai,台,machines_vehicles,2,二台,にだい,nidai,,,dua mesin/kendaraan,車,車二台,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0071,N5,counter_form_n5,71,ctr_dai,台,machines_vehicles,3,三台,さんだい,sandai,,,tiga mesin/kendaraan,車,車三台,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0072,N5,counter_form_n5,72,ctr_dai,台,machines_vehicles,4,四台,よんだい,yondai,,,empat mesin/kendaraan,車,車四台,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0073,N5,counter_form_n5,73,ctr_dai,台,machines_vehicles,5,五台,ごだい,godai,,,lima mesin/kendaraan,車,車五台,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0074,N5,counter_form_n5,74,ctr_dai,台,machines_vehicles,6,六台,ろくだい,rokudai,,,enam mesin/kendaraan,車,車六台,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0075,N5,counter_form_n5,75,ctr_dai,台,machines_vehicles,7,七台,ななだい,nanadai,,,tujuh mesin/kendaraan,車,車七台,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0076,N5,counter_form_n5,76,ctr_dai,台,machines_vehicles,8,八台,はちだい,hachidai,,,delapan mesin/kendaraan,車,車八台,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0077,N5,counter_form_n5,77,ctr_dai,台,machines_vehicles,9,九台,きゅうだい,kyuudai,,,sembilan mesin/kendaraan,車,車九台,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0078,N5,counter_form_n5,78,ctr_dai,台,machines_vehicles,10,十台,じゅうだい,juudai,,,sepuluh mesin/kendaraan,車,車十台,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0079,N5,counter_form_n5,79,ctr_dai,台,machines_vehicles,how_many,何台,なんだい,nandai,,,berapa mesin/kendaraan,車,車は何台ですか,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0080,N5,counter_form_n5,80,ctr_hiki,匹,small_animals,1,一匹,いっぴき,ippiki,,,satu hewan kecil,猫,猫一匹,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0081,N5,counter_form_n5,81,ctr_hiki,匹,small_animals,2,二匹,にひき,nihiki,,,dua hewan kecil,猫,猫二匹,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0082,N5,counter_form_n5,82,ctr_hiki,匹,small_animals,3,三匹,さんびき,sanbiki,,,tiga hewan kecil,猫,猫三匹,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0083,N5,counter_form_n5,83,ctr_hiki,匹,small_animals,4,四匹,よんひき,yonhiki,,,empat hewan kecil,猫,猫四匹,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0084,N5,counter_form_n5,84,ctr_hiki,匹,small_animals,5,五匹,ごひき,gohiki,,,lima hewan kecil,猫,猫五匹,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0085,N5,counter_form_n5,85,ctr_hiki,匹,small_animals,6,六匹,ろっぴき,roppiki,,,enam hewan kecil,猫,猫六匹,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0086,N5,counter_form_n5,86,ctr_hiki,匹,small_animals,7,七匹,ななひき,nanahiki,,,tujuh hewan kecil,猫,猫七匹,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0087,N5,counter_form_n5,87,ctr_hiki,匹,small_animals,8,八匹,はっぴき,happiki,はちひき,hachihiki,delapan hewan kecil,猫,猫八匹,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0088,N5,counter_form_n5,88,ctr_hiki,匹,small_animals,9,九匹,きゅうひき,kyuuhiki,,,sembilan hewan kecil,猫,猫九匹,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0089,N5,counter_form_n5,89,ctr_hiki,匹,small_animals,10,十匹,じゅっぴき,juppiki,じっぴき,jippiki,sepuluh hewan kecil,猫,猫十匹,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0090,N5,counter_form_n5,90,ctr_hiki,匹,small_animals,100,百匹,ひゃっぴき,hyappiki,,,seratus hewan kecil,猫,猫百匹,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0091,N5,counter_form_n5,91,ctr_hiki,匹,small_animals,how_many,何匹,なんびき,nanbiki,,,berapa hewan kecil,猫,猫は何匹ですか,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0092,N5,counter_form_n5,92,ctr_kai_times,回,frequency,1,一回,いっかい,ikkai,,,satu kali,授業,授業一回,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0093,N5,counter_form_n5,93,ctr_kai_times,回,frequency,2,二回,にかい,nikai,,,dua kali,授業,授業二回,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0094,N5,counter_form_n5,94,ctr_kai_times,回,frequency,3,三回,さんかい,sankai,,,tiga kali,授業,授業三回,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0095,N5,counter_form_n5,95,ctr_kai_times,回,frequency,4,四回,よんかい,yonkai,,,empat kali,授業,授業四回,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0096,N5,counter_form_n5,96,ctr_kai_times,回,frequency,5,五回,ごかい,gokai,,,lima kali,授業,授業五回,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0097,N5,counter_form_n5,97,ctr_kai_times,回,frequency,6,六回,ろっかい,rokkai,,,enam kali,授業,授業六回,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0098,N5,counter_form_n5,98,ctr_kai_times,回,frequency,7,七回,ななかい,nanakai,,,tujuh kali,授業,授業七回,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0099,N5,counter_form_n5,99,ctr_kai_times,回,frequency,8,八回,はっかい,hakkai,はちかい,hachikai,delapan kali,授業,授業八回,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0100,N5,counter_form_n5,100,ctr_kai_times,回,frequency,9,九回,きゅうかい,kyuukai,,,sembilan kali,授業,授業九回,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0101,N5,counter_form_n5,101,ctr_kai_times,回,frequency,10,十回,じゅっかい,jukkai,じっかい,jikkai,sepuluh kali,授業,授業十回,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0102,N5,counter_form_n5,102,ctr_kai_times,回,frequency,100,百回,ひゃっかい,hyakkai,,,seratus kali,授業,授業百回,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0103,N5,counter_form_n5,103,ctr_kai_times,回,frequency,how_many,何回,なんかい,nankai,,,berapa kali,授業,授業は何回ですか,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0104,N5,counter_form_n5,104,ctr_hai,杯,cups_liquid,1,一杯,いっぱい,ippai,,,satu gelas/cangkir,水,水一杯,水を一杯ください。,Tolong beri saya segelas air.,true,true,true,https://preply.com/en/blog/japanese-counters/,
