id,jlpt_level,set_type,display_order,rule_family,form_key,form_name_id,meaning_id,source_form,adjective_group,applies_to_ending,match_condition,operation,stem_change,append_text,result_formula_id,example_adjective,example_reading,example_romaji,example_result,example_result_reading,example_result_romaji,example_meaning_id,polarity,tense,politeness,position,used_by_grammar_points,is_core_n5,recommended_for_quiz,priority,source_url,notes
acr_n5_001,N5,engine_support,1,adjective_group_detection,detect_group_from_vocab,Deteksi jenis adjective dari metadata vocab,Gunakan kolom adjective_group di tabel kosakata sebagai sumber utama.,dictionary,any,any,vocabulary.adjective_group is present,read_metadata,,,group = vocabulary.adjective_group,きれい,きれい,kirei,na_adjective,な形容詞,na-adjective,"Indah; bersih. Walau berakhir い, ini na-adjective.",neutral,none,neutral,engine,all_adjective_forms,true,false,1,https://www.mlcjapanese.co.jp/n5_02_07.html,Paling aman: simpan adjective_group per vocab. Jangan hanya tebak dari akhiran.
acr_n5_002,N5,engine_support,2,adjective_group_detection,detect_i_adjective_candidate,Kandidat i-adjective,"Mayoritas i-adjective berakhir い, tapi perlu cek exception.",dictionary,i_adjective,い,ends_with(い) AND not in na_adjective_ending_i_exception_list,classify_candidate,,,group = i_adjective_candidate,高い,たかい,takai,i_adjective,い形容詞,i-adjective,Tinggi; mahal.,neutral,none,neutral,engine,i_adjective_forms,true,true,2,https://www.tofugu.com/japanese-grammar/i-adjective/,"Cocok sebagai fallback, tapi metadata tetap nomor satu."
acr_n5_003,N5,engine_support,3,adjective_group_detection,detect_na_adjective_i_ending_exception,Na-adjective yang terlihat seperti i-adjective,"Beberapa na-adjective berakhir bunyi い, tapi tetap memakai な sebelum noun dan conjugation seperti noun.",dictionary,na_adjective,い|non_い,dictionary_form in na_adjective_exception_list,classify_exception,,,group = na_adjective,きれい,きれい,kirei,na_adjective,な形容詞,na-adjective,Indah; cantik; bersih.,neutral,none,neutral,engine,na_adjective_forms,true,true,1,https://www.mlcjapanese.co.jp/n5_02_07.html,Exception penting untuk quiz: jangan ubah きれい menjadi きれくない.
acr_n5_004,N5,engine_support,4,adjective_group_detection,detect_na_adjective_i_ending_exception,Na-adjective yang terlihat seperti i-adjective,"Beberapa na-adjective berakhir bunyi い, tapi tetap memakai な sebelum noun dan conjugation seperti noun.",dictionary,na_adjective,い|non_い,dictionary_form in na_adjective_exception_list,classify_exception,,,group = na_adjective,丁寧,ていねい,teinei,na_adjective,な形容詞,na-adjective,Sopan; teliti.,neutral,none,neutral,engine,na_adjective_forms,true,true,1,https://www.mlcjapanese.co.jp/n5_02_07.html,Exception penting untuk quiz: jangan ubah きれい menjadi きれくない.
acr_n5_005,N5,engine_support,5,adjective_group_detection,detect_na_adjective_i_ending_exception,Na-adjective yang terlihat seperti i-adjective,"Beberapa na-adjective berakhir bunyi い, tapi tetap memakai な sebelum noun dan conjugation seperti noun.",dictionary,na_adjective,い|non_い,dictionary_form in na_adjective_exception_list,classify_exception,,,group = na_adjective,有名,ゆうめい,yuumei,na_adjective,な形容詞,na-adjective,Terkenal.,neutral,none,neutral,engine,na_adjective_forms,true,true,1,https://www.mlcjapanese.co.jp/n5_02_07.html,Exception penting untuk quiz: jangan ubah きれい menjadi きれくない.
acr_n5_006,N5,engine_support,6,adjective_group_detection,detect_na_adjective_i_ending_exception,Na-adjective yang terlihat seperti i-adjective,"Beberapa na-adjective berakhir bunyi い, tapi tetap memakai な sebelum noun dan conjugation seperti noun.",dictionary,na_adjective,い|non_い,dictionary_form in na_adjective_exception_list,classify_exception,,,group = na_adjective,嫌い,きらい,kirai,na_adjective,な形容詞,na-adjective,Tidak suka; benci.,neutral,none,neutral,engine,na_adjective_forms,true,true,1,https://www.mlcjapanese.co.jp/n5_02_07.html,Exception penting untuk quiz: jangan ubah きれい menjadi きれくない.
acr_n5_007,N5,engine_support,7,adjective_group_detection,detect_na_adjective_i_ending_exception,Na-adjective yang terlihat seperti i-adjective,"Beberapa na-adjective berakhir bunyi い, tapi tetap memakai な sebelum noun dan conjugation seperti noun.",dictionary,na_adjective,い|non_い,dictionary_form in na_adjective_exception_list,classify_exception,,,group = na_adjective,好き,すき,suki,na_adjective,な形容詞,na-adjective,Suka.,neutral,none,neutral,engine,na_adjective_forms,true,true,1,https://www.mlcjapanese.co.jp/n5_02_07.html,Exception penting untuk quiz: jangan ubah きれい menjadi きれくない.
acr_n5_008,N5,engine_support,8,adjective_group_detection,detect_na_adjective_i_ending_exception,Na-adjective yang terlihat seperti i-adjective,"Beberapa na-adjective berakhir bunyi い, tapi tetap memakai な sebelum noun dan conjugation seperti noun.",dictionary,na_adjective,い|non_い,dictionary_form in na_adjective_exception_list,classify_exception,,,group = na_adjective,得意,とくい,tokui,na_adjective,な形容詞,na-adjective,Jago; ahli.,neutral,none,neutral,engine,na_adjective_forms,true,true,1,https://www.mlcjapanese.co.jp/n5_02_07.html,Exception penting untuk quiz: jangan ubah きれい menjadi きれくない.
acr_n5_009,N5,core_n5_conjugation,9,i_adjective_base,i_dictionary_form,Bentuk kamus i-adjective,Bentuk dasar i-adjective; bisa menjadi predicate informal non-past afirmatif atau modifier sebelum noun.,dictionary,i_adjective,い,adjective_group == i_adjective,identity,,,dictionary_form,高い,たかい,takai,高い,たかい,takai,Tinggi; mahal.,affirmative,non_past,plain,predicate_or_before_noun,plain_present|adjective_plus_noun,true,true,1,https://www.tofugu.com/japanese-grammar/i-adjective/,"Contoh: 高い山, この本は高い。"
acr_n5_010,N5,core_n5_conjugation,10,i_adjective_stem,i_stem,Stem i-adjective,Stem yang didapat dari menghapus い akhir.,dictionary,i_adjective,い,adjective_group == i_adjective AND not special_i_adjective_ii,drop_final_kana,い->,,remove final い,高い,たかい,takai,高,たか,taka,Stem untuk 高い.,neutral,none,neutral,engine,くない|かった|くなかった|くて|く|そう,true,true,1,https://www.tofugu.com/japanese-grammar/i-adjective/,Untuk kanji result bisa terlihat seperti 高; secara praktis stem reading-nya たか.
acr_n5_011,N5,core_n5_conjugation,11,i_adjective_stem,i_stem_ii_exception,Stem khusus いい,Conjugation いい memakai stem よ dari 良い.,dictionary,i_adjective,いい|良い,"dictionary_form in [いい, 良い]",replace_whole_word,いい/良い->よ,,stem = よ,いい,いい,ii,よ,よ,yo,Baik; bagus.,neutral,none,neutral,engine,よくない|よかった|よくなかった|よくて|よく,true,true,1,https://www.tofugu.com/japanese-grammar/i-adjective-negative-form-kunai/,"Bentuk attributive tetap いい: いい人. Tapi conjugation jadi よくない, よかった, dll."
acr_n5_012,N5,core_n5_conjugation,12,i_adjective_conjugation,i_plain_nonpast_affirmative,Plain non-past affirmative i-adjective,bentuk informal sekarang/masa depan afirmatif,dictionary,i_adjective,い,adjective_group == i_adjective,identity,,,dictionary_form,高い,たかい,takai,高い,たかい,takai,Contoh hasil konjugasi.,affirmative,non_past,plain,predicate,plain_present|adjective_plus_noun,true,true,1,https://www.tofugu.com/japanese-grammar/i-adjective/,Predicate informal atau langsung sebelum noun.
acr_n5_013,N5,core_n5_conjugation,13,i_adjective_conjugation,i_polite_nonpast_affirmative,Polite non-past affirmative i-adjective,bentuk sopan sekarang/masa depan afirmatif,dictionary,i_adjective,い,adjective_group == i_adjective,append_suffix,,です,dictionary_form + です,高い,たかい,takai,高いです,たかいです,takai desu,Contoh hasil konjugasi.,affirmative,non_past,polite,predicate,です,true,true,1,https://www.mlcjapanese.co.jp/n5_02_07.html,Jangan ubah i-adjective sebelum menambah です.
acr_n5_014,N5,core_n5_conjugation,14,i_adjective_conjugation,i_plain_nonpast_negative,Plain non-past negative i-adjective,bentuk informal negatif sekarang/masa depan,i_stem,i_adjective,い,adjective_group == i_adjective,append_suffix,い->く,くない,stem + くない,高い,たかい,takai,高くない,たかくない,takakunai,Contoh hasil konjugasi.,negative,non_past,plain,predicate,くない,true,true,1,https://www.tofugu.com/japanese-grammar/i-adjective-negative-form-kunai/,Drop い lalu tambah くない.
acr_n5_015,N5,core_n5_conjugation,15,i_adjective_conjugation,i_polite_nonpast_negative_nai_desu,Polite non-past negative i-adjective: くないです,bentuk sopan negatif sekarang/masa depan,i_plain_nonpast_negative,i_adjective,い,adjective_group == i_adjective,append_suffix,,です,i_plain_negative + です,高い,たかい,takai,高くないです,たかくないです,takakunai desu,Contoh hasil konjugasi.,negative,non_past,polite,predicate,くないです,true,true,1,https://www.tofugu.com/japanese-grammar/i-adjective-negative-form-kunai/,Umum di percakapan sopan.
acr_n5_016,N5,core_n5_conjugation,16,i_adjective_conjugation,i_polite_nonpast_negative_arimasen,Polite non-past negative i-adjective: くありません,bentuk sopan negatif formal,i_stem,i_adjective,い,adjective_group == i_adjective,append_suffix,い->く,くありません,stem + くありません,高い,たかい,takai,高くありません,たかくありません,takaku arimasen,Contoh hasil konjugasi.,negative,non_past,polite_formal,predicate,くありません,true,false,1,https://cotoacademy.com/japanese-adjectives-%E3%81%AA-and-%E3%81%84-adjectives/,Lebih formal dari くないです; tetap berguna untuk input acceptance.
acr_n5_017,N5,core_n5_conjugation,17,i_adjective_conjugation,i_plain_past_affirmative,Plain past affirmative i-adjective,bentuk informal lampau afirmatif,i_stem,i_adjective,い,adjective_group == i_adjective,append_suffix,い->かった,かった,stem + かった,高い,たかい,takai,高かった,たかかった,takakatta,Contoh hasil konjugasi.,affirmative,past,plain,predicate,かった,true,true,1,https://guidetojapanese.org/learn/category/complete-guide/page/5/,Drop い lalu tambah かった.
acr_n5_018,N5,core_n5_conjugation,18,i_adjective_conjugation,i_polite_past_affirmative,Polite past affirmative i-adjective,bentuk sopan lampau afirmatif,i_plain_past_affirmative,i_adjective,い,adjective_group == i_adjective,append_suffix,,です,i_plain_past + です,高い,たかい,takai,高かったです,たかかったです,takakatta desu,Contoh hasil konjugasi.,affirmative,past,polite,predicate,かったです,true,true,1,https://guidetojapanese.org/learn/category/complete-guide/page/5/,Jangan pakai 高いでした; itu salah.
acr_n5_019,N5,core_n5_conjugation,19,i_adjective_conjugation,i_plain_past_negative,Plain past negative i-adjective,bentuk informal lampau negatif,i_stem,i_adjective,い,adjective_group == i_adjective,append_suffix,い->くなかった,くなかった,stem + くなかった,高い,たかい,takai,高くなかった,たかくなかった,takakunakatta,Contoh hasil konjugasi.,negative,past,plain,predicate,くなかった,true,true,1,https://www.tofugu.com/japanese-grammar/i-adjective-negative-form-kunai/,Dari くない lalu ない -> なかった.
acr_n5_020,N5,core_n5_conjugation,20,i_adjective_conjugation,i_polite_past_negative_nakatta_desu,Polite past negative i-adjective: くなかったです,bentuk sopan lampau negatif,i_plain_past_negative,i_adjective,い,adjective_group == i_adjective,append_suffix,,です,i_plain_past_negative + です,高い,たかい,takai,高くなかったです,たかくなかったです,takakunakatta desu,Contoh hasil konjugasi.,negative,past,polite,predicate,くなかったです,true,true,1,https://guidetojapanese.org/learn/category/complete-guide/page/5/,Bentuk aman untuk N5.
acr_n5_021,N5,core_n5_conjugation,21,i_adjective_conjugation,i_polite_past_negative_arimasen_deshita,Polite past negative i-adjective: くありませんでした,bentuk sopan lampau negatif formal,i_stem,i_adjective,い,adjective_group == i_adjective,append_suffix,い->く,くありませんでした,stem + くありませんでした,高い,たかい,takai,高くありませんでした,たかくありませんでした,takaku arimasen deshita,Contoh hasil konjugasi.,negative,past,polite_formal,predicate,くありませんでした,true,false,1,https://cotoacademy.com/japanese-adjectives-%E3%81%AA-and-%E3%81%84-adjectives/,Formal; berguna sebagai accepted answer alternatif.
acr_n5_022,N5,core_n5_conjugation,22,i_adjective_conjugation,i_connective_kute,Connective i-adjective: くて,menghubungkan adjective dengan klausa/quality lain; dan/karena konteks ringan,i_stem,i_adjective,い,adjective_group == i_adjective,append_suffix,い->くて,くて,stem + くて,高い,たかい,takai,高くて,たかくて,takakute,Contoh hasil konjugasi.,affirmative,non_past,plain,connective,くて,true,true,1,https://www.mlcjapanese.co.jp/n5_02_08.html,Contoh: 高くておいしいです.
acr_n5_023,N5,core_n5_conjugation,23,i_adjective_conjugation,i_adverbial_ku,Adverbial i-adjective: く,membuat i-adjective menjadi adverbia,i_stem,i_adjective,い,adjective_group == i_adjective,append_suffix,い->く,く,stem + く,早い,はやい,hayai,早く,はやく,hayaku,Contoh hasil konjugasi.,neutral,none,plain,before_verb,く,true,true,1,https://www.mlcjapanese.co.jp/n5_02_08.html,Contoh: 早く歩きます.
acr_n5_024,N5,core_n5_conjugation,24,i_adjective_conjugation,i_before_noun,I-adjective sebelum noun,menjelaskan noun langsung tanpa な,dictionary,i_adjective,い,adjective_group == i_adjective,identity,,,dictionary_form + noun,高い,たかい,takai,高い山,たかいやま,takai yama,Contoh hasil konjugasi.,affirmative,non_past,plain,before_noun,adjective_plus_noun,true,true,1,https://www.tofugu.com/japanese-grammar/i-adjective/,I-adjective langsung menempel ke noun.
acr_n5_025,N4+,boundary_reference,25,i_adjective_conjugation,i_sou_form,I-adjective そう form,terlihat/sepertinya; biasanya setelah N5 tapi berguna untuk roadmap,i_stem,i_adjective,い,adjective_group == i_adjective,append_suffix,い->そう,そう,stem + そう,おいしい,おいしい,oishii,おいしそう,おいしそう,oishisou,Contoh hasil konjugasi.,affirmative,non_past,plain,predicate_or_before_noun,そう,false,false,9,https://www.tofugu.com/japanese-grammar/adjective-sou/,Boundary N4-ish; tidak direkomendasikan untuk quiz N5 utama.
acr_n5_026,N5,core_n5_conjugation,26,i_adjective_ii_exception,ii_plain_nonpast_affirmative,いい,Bentuk khusus untuk いい/良い.,dictionary,i_adjective,いい|良い,"dictionary_form in [いい, 良い]",exception_lookup,いい/良い->よ for conjugated forms,,lookup[ii_plain_nonpast_affirmative],いい,いい,ii,いい,いい,ii,Baik; bagus.,varies,varies,varies,predicate_or_before_noun,いい_exception,true,true,1,https://www.tofugu.com/japanese-grammar/i-adjective-negative-form-kunai/,Bentuk dasar tetap いい.
acr_n5_027,N5,core_n5_conjugation,27,i_adjective_ii_exception,ii_polite_nonpast_affirmative,いいです,Bentuk khusus untuk いい/良い.,dictionary,i_adjective,いい|良い,"dictionary_form in [いい, 良い]",exception_lookup,いい/良い->よ for conjugated forms,,lookup[ii_polite_nonpast_affirmative],いい,いい,ii,いいです,いいです,ii desu,Baik; bagus.,varies,varies,varies,predicate_or_before_noun,いい_exception,true,true,1,https://www.tofugu.com/japanese-grammar/i-adjective-negative-form-kunai/,Polite present tetap いいです.
acr_n5_028,N5,core_n5_conjugation,28,i_adjective_ii_exception,ii_plain_nonpast_negative,よくない,Bentuk khusus untuk いい/良い.,dictionary,i_adjective,いい|良い,"dictionary_form in [いい, 良い]",exception_lookup,いい/良い->よ for conjugated forms,,lookup[ii_plain_nonpast_negative],いい,いい,ii,よくない,よくない,yokunai,Baik; bagus.,varies,varies,varies,predicate_or_before_noun,いい_exception,true,true,1,https://www.tofugu.com/japanese-grammar/i-adjective-negative-form-kunai/,Negatif memakai stem よ.
