id,jlpt_level,set_type,display_order,rule_family,form_key,form_name_id,meaning_id,source_form,adjective_group,applies_to_ending,match_condition,operation,stem_change,append_text,result_formula_id,example_adjective,example_reading,example_romaji,example_result,example_result_reading,example_result_romaji,example_meaning_id,polarity,tense,politeness,position,used_by_grammar_points,is_core_n5,recommended_for_quiz,priority,source_url,notes
acr_n5_029,N5,core_n5_conjugation,29,i_adjective_ii_exception,ii_polite_nonpast_negative,よくないです,Bentuk khusus untuk いい/良い.,dictionary,i_adjective,いい|良い,"dictionary_form in [いい, 良い]",exception_lookup,いい/良い->よ for conjugated forms,,lookup[ii_polite_nonpast_negative],いい,いい,ii,よくないです,よくないです,yokunai desu,Baik; bagus.,varies,varies,varies,predicate_or_before_noun,いい_exception,true,true,1,https://www.tofugu.com/japanese-grammar/i-adjective-negative-form-kunai/,Polite negatif umum.
acr_n5_030,N5,core_n5_conjugation,30,i_adjective_ii_exception,ii_polite_nonpast_negative_arimasen,よくありません,Bentuk khusus untuk いい/良い.,dictionary,i_adjective,いい|良い,"dictionary_form in [いい, 良い]",exception_lookup,いい/良い->よ for conjugated forms,,lookup[ii_polite_nonpast_negative_arimasen],いい,いい,ii,よくありません,よくありません,yoku arimasen,Baik; bagus.,varies,varies,varies,predicate_or_before_noun,いい_exception,true,true,1,https://www.tofugu.com/japanese-grammar/i-adjective-negative-form-kunai/,Polite negatif formal.
acr_n5_031,N5,core_n5_conjugation,31,i_adjective_ii_exception,ii_plain_past_affirmative,よかった,Bentuk khusus untuk いい/良い.,dictionary,i_adjective,いい|良い,"dictionary_form in [いい, 良い]",exception_lookup,いい/良い->よ for conjugated forms,,lookup[ii_plain_past_affirmative],いい,いい,ii,よかった,よかった,yokatta,Baik; bagus.,varies,varies,varies,predicate_or_before_noun,いい_exception,true,true,1,https://www.tofugu.com/japanese-grammar/i-adjective-negative-form-kunai/,Lampau afirmatif.
acr_n5_032,N5,core_n5_conjugation,32,i_adjective_ii_exception,ii_polite_past_affirmative,よかったです,Bentuk khusus untuk いい/良い.,dictionary,i_adjective,いい|良い,"dictionary_form in [いい, 良い]",exception_lookup,いい/良い->よ for conjugated forms,,lookup[ii_polite_past_affirmative],いい,いい,ii,よかったです,よかったです,yokatta desu,Baik; bagus.,varies,varies,varies,predicate_or_before_noun,いい_exception,true,true,1,https://www.tofugu.com/japanese-grammar/i-adjective-negative-form-kunai/,Polite lampau.
acr_n5_033,N5,core_n5_conjugation,33,i_adjective_ii_exception,ii_plain_past_negative,よくなかった,Bentuk khusus untuk いい/良い.,dictionary,i_adjective,いい|良い,"dictionary_form in [いい, 良い]",exception_lookup,いい/良い->よ for conjugated forms,,lookup[ii_plain_past_negative],いい,いい,ii,よくなかった,よくなかった,yokunakatta,Baik; bagus.,varies,varies,varies,predicate_or_before_noun,いい_exception,true,true,1,https://www.tofugu.com/japanese-grammar/i-adjective-negative-form-kunai/,Lampau negatif.
acr_n5_034,N5,core_n5_conjugation,34,i_adjective_ii_exception,ii_polite_past_negative,よくなかったです,Bentuk khusus untuk いい/良い.,dictionary,i_adjective,いい|良い,"dictionary_form in [いい, 良い]",exception_lookup,いい/良い->よ for conjugated forms,,lookup[ii_polite_past_negative],いい,いい,ii,よくなかったです,よくなかったです,yokunakatta desu,Baik; bagus.,varies,varies,varies,predicate_or_before_noun,いい_exception,true,true,1,https://www.tofugu.com/japanese-grammar/i-adjective-negative-form-kunai/,Polite lampau negatif.
acr_n5_035,N5,core_n5_conjugation,35,i_adjective_ii_exception,ii_connective_kute,よくて,Bentuk khusus untuk いい/良い.,dictionary,i_adjective,いい|良い,"dictionary_form in [いい, 良い]",exception_lookup,いい/良い->よ for conjugated forms,,lookup[ii_connective_kute],いい,いい,ii,よくて,よくて,yokute,Baik; bagus.,varies,varies,varies,predicate_or_before_noun,いい_exception,true,true,1,https://www.tofugu.com/japanese-grammar/i-adjective-negative-form-kunai/,Connective.
acr_n5_036,N5,core_n5_conjugation,36,i_adjective_ii_exception,ii_adverbial_ku,よく,Bentuk khusus untuk いい/良い.,dictionary,i_adjective,いい|良い,"dictionary_form in [いい, 良い]",exception_lookup,いい/良い->よ for conjugated forms,,lookup[ii_adverbial_ku],いい,いい,ii,よく,よく,yoku,Baik; bagus.,varies,varies,varies,predicate_or_before_noun,いい_exception,true,true,1,https://www.tofugu.com/japanese-grammar/i-adjective-negative-form-kunai/,Adverbial; bisa berarti dengan baik/sering tergantung konteks.
acr_n5_037,N5,core_n5_conjugation,37,na_adjective_base,na_dictionary_form,Bentuk kamus na-adjective,Bentuk dasar na-adjective; stem tidak berubah.,dictionary,na_adjective,any,adjective_group == na_adjective,identity,,,dictionary_form,便利,べんり,benri,便利,べんり,benri,Praktis; nyaman.,neutral,none,neutral,engine,na_adjective_forms,true,false,1,https://www.tofugu.com/japanese-grammar/na-adjective/,"Na-adjective conjugation mirip noun: yang berubah adalah copula/auxiliary, bukan stem adjective."
acr_n5_038,N5,core_n5_conjugation,38,na_adjective_conjugation,na_plain_nonpast_affirmative_da,Plain non-past affirmative na-adjective: だ,bentuk informal sekarang/masa depan afirmatif,dictionary,na_adjective,any,adjective_group == na_adjective,append_suffix,,だ,dictionary_form + だ,便利,べんり,benri,便利だ,べんりだ,benri da,Contoh hasil konjugasi.,affirmative,non_past,plain,predicate,だ,true,true,1,https://www.tofugu.com/japanese-grammar/na-adjective/,Predicate informal.
acr_n5_039,N5,core_n5_conjugation,39,na_adjective_conjugation,na_polite_nonpast_affirmative_desu,Polite non-past affirmative na-adjective: です,bentuk sopan sekarang/masa depan afirmatif,dictionary,na_adjective,any,adjective_group == na_adjective,append_suffix,,です,dictionary_form + です,便利,べんり,benri,便利です,べんりです,benri desu,Contoh hasil konjugasi.,affirmative,non_past,polite,predicate,です,true,true,1,https://www.mlcjapanese.co.jp/n5_02_07.html,Core N5.
acr_n5_040,N5,core_n5_conjugation,40,na_adjective_conjugation,na_before_noun_na,Na-adjective sebelum noun: な,menjelaskan noun dengan な sebelum noun,dictionary,na_adjective,any,adjective_group == na_adjective,append_suffix,,な + noun,dictionary_form + な + noun,便利,べんり,benri,便利な店,べんりなみせ,benri na mise,Contoh hasil konjugasi.,affirmative,non_past,plain,before_noun,な,true,true,1,https://www.tofugu.com/japanese-grammar/na-adjective/,Inilah asal nama na-adjective.
acr_n5_041,N5,core_n5_conjugation,41,na_adjective_conjugation,na_plain_nonpast_negative_dewa_nai,Plain non-past negative na-adjective: ではない,bentuk informal negatif sekarang/masa depan,dictionary,na_adjective,any,adjective_group == na_adjective,append_suffix,,ではない,dictionary_form + ではない,便利,べんり,benri,便利ではない,べんりではない,benri dewa nai,Contoh hasil konjugasi.,negative,non_past,plain,predicate,ではない,true,true,1,https://guidetojapanese.org/learn/category/complete-guide/page/5/,Lebih formal/literal dari じゃない.
acr_n5_042,N5,core_n5_conjugation,42,na_adjective_conjugation,na_plain_nonpast_negative_ja_nai,Plain non-past negative na-adjective: じゃない,bentuk informal negatif percakapan,dictionary,na_adjective,any,adjective_group == na_adjective,append_suffix,,じゃない,dictionary_form + じゃない,便利,べんり,benri,便利じゃない,べんりじゃない,benri ja nai,Contoh hasil konjugasi.,negative,non_past,plain_casual,predicate,じゃない,true,true,1,https://guidetojapanese.org/learn/category/complete-guide/page/5/,Casual contraction dari ではない.
acr_n5_043,N5,core_n5_conjugation,43,na_adjective_conjugation,na_polite_nonpast_negative_dewa_arimasen,Polite non-past negative na-adjective: ではありません,bentuk sopan negatif sekarang/masa depan,dictionary,na_adjective,any,adjective_group == na_adjective,append_suffix,,ではありません,dictionary_form + ではありません,便利,べんり,benri,便利ではありません,べんりではありません,benri dewa arimasen,Contoh hasil konjugasi.,negative,non_past,polite,predicate,ではありません,true,true,1,https://www.mlcjapanese.co.jp/n5_02_07.html,Core textbook/N5.
acr_n5_044,N5,core_n5_conjugation,44,na_adjective_conjugation,na_polite_nonpast_negative_ja_arimasen,Polite non-past negative na-adjective: じゃありません,bentuk sopan negatif percakapan,dictionary,na_adjective,any,adjective_group == na_adjective,append_suffix,,じゃありません,dictionary_form + じゃありません,便利,べんり,benri,便利じゃありません,べんりじゃありません,benri ja arimasen,Contoh hasil konjugasi.,negative,non_past,polite_casual,predicate,じゃありません,true,false,1,https://cotoacademy.com/japanese-adjectives-%E3%81%AA-and-%E3%81%84-adjectives/,Accepted alternative.
acr_n5_045,N5,core_n5_conjugation,45,na_adjective_conjugation,na_polite_nonpast_negative_dewa_nai_desu,Polite non-past negative na-adjective: ではないです,bentuk sopan negatif alternatif,dictionary,na_adjective,any,adjective_group == na_adjective,append_suffix,,ではないです,dictionary_form + ではないです,便利,べんり,benri,便利ではないです,べんりではないです,benri dewa nai desu,Contoh hasil konjugasi.,negative,non_past,polite,predicate,ではないです,true,false,1,https://guidetojapanese.org/learn/category/complete-guide/page/5/,Umum tapi untuk N5 quiz utama biasanya pakai ではありません.
acr_n5_046,N5,core_n5_conjugation,46,na_adjective_conjugation,na_plain_past_affirmative_datta,Plain past affirmative na-adjective: だった,bentuk informal lampau afirmatif,dictionary,na_adjective,any,adjective_group == na_adjective,append_suffix,,だった,dictionary_form + だった,便利,べんり,benri,便利だった,べんりだった,benri datta,Contoh hasil konjugasi.,affirmative,past,plain,predicate,だった,true,true,1,https://guidetojapanese.org/learn/category/complete-guide/page/5/,Na-adjective past seperti noun.
acr_n5_047,N5,core_n5_conjugation,47,na_adjective_conjugation,na_polite_past_affirmative_deshita,Polite past affirmative na-adjective: でした,bentuk sopan lampau afirmatif,dictionary,na_adjective,any,adjective_group == na_adjective,append_suffix,,でした,dictionary_form + でした,便利,べんり,benri,便利でした,べんりでした,benri deshita,Contoh hasil konjugasi.,affirmative,past,polite,predicate,でした,true,true,1,https://www.mlcjapanese.co.jp/n5_02_07.html,Core N5.
acr_n5_048,N5,core_n5_conjugation,48,na_adjective_conjugation,na_plain_past_negative_dewa_nakatta,Plain past negative na-adjective: ではなかった,bentuk informal lampau negatif,dictionary,na_adjective,any,adjective_group == na_adjective,append_suffix,,ではなかった,dictionary_form + ではなかった,便利,べんり,benri,便利ではなかった,べんりではなかった,benri dewa nakatta,Contoh hasil konjugasi.,negative,past,plain,predicate,ではなかった,true,true,1,https://guidetojapanese.org/learn/category/complete-guide/page/5/,Dari ではない → ではなかった.
acr_n5_049,N5,core_n5_conjugation,49,na_adjective_conjugation,na_plain_past_negative_ja_nakatta,Plain past negative na-adjective: じゃなかった,bentuk informal lampau negatif percakapan,dictionary,na_adjective,any,adjective_group == na_adjective,append_suffix,,じゃなかった,dictionary_form + じゃなかった,便利,べんり,benri,便利じゃなかった,べんりじゃなかった,benri ja nakatta,Contoh hasil konjugasi.,negative,past,plain_casual,predicate,じゃなかった,true,true,1,https://guidetojapanese.org/learn/category/complete-guide/page/5/,Casual contraction.
acr_n5_050,N5,core_n5_conjugation,50,na_adjective_conjugation,na_polite_past_negative_dewa_arimasen_deshita,Polite past negative na-adjective: ではありませんでした,bentuk sopan lampau negatif,dictionary,na_adjective,any,adjective_group == na_adjective,append_suffix,,ではありませんでした,dictionary_form + ではありませんでした,便利,べんり,benri,便利ではありませんでした,べんりではありませんでした,benri dewa arimasen deshita,Contoh hasil konjugasi.,negative,past,polite,predicate,ではありませんでした,true,true,1,https://www.mlcjapanese.co.jp/n5_02_07.html,Core textbook/N5.
acr_n5_051,N5,core_n5_conjugation,51,na_adjective_conjugation,na_polite_past_negative_ja_arimasen_deshita,Polite past negative na-adjective: じゃありませんでした,bentuk sopan lampau negatif percakapan,dictionary,na_adjective,any,adjective_group == na_adjective,append_suffix,,じゃありませんでした,dictionary_form + じゃありませんでした,便利,べんり,benri,便利じゃありませんでした,べんりじゃありませんでした,benri ja arimasen deshita,Contoh hasil konjugasi.,negative,past,polite_casual,predicate,じゃありませんでした,true,false,1,https://cotoacademy.com/japanese-adjectives-%E3%81%AA-and-%E3%81%84-adjectives/,Accepted alternative.
acr_n5_052,N5,core_n5_conjugation,52,na_adjective_conjugation,na_polite_past_negative_dewa_nakatta_desu,Polite past negative na-adjective: ではなかったです,bentuk sopan lampau negatif alternatif,dictionary,na_adjective,any,adjective_group == na_adjective,append_suffix,,ではなかったです,dictionary_form + ではなかったです,便利,べんり,benri,便利ではなかったです,べんりではなかったです,benri dewa nakatta desu,Contoh hasil konjugasi.,negative,past,polite,predicate,ではなかったです,true,false,1,https://guidetojapanese.org/learn/category/complete-guide/page/5/,Alternative; quiz utama bisa pakai ではありませんでした.
acr_n5_053,N5,core_n5_conjugation,53,na_adjective_conjugation,na_connective_de,Connective na-adjective: で,menghubungkan na-adjective dengan klausa/quality lain,dictionary,na_adjective,any,adjective_group == na_adjective,append_suffix,,で,dictionary_form + で,便利,べんり,benri,便利で,べんりで,benri de,Contoh hasil konjugasi.,affirmative,non_past,plain,connective,で,true,true,1,https://www.mlcjapanese.co.jp/n5_02_08.html,Contoh: 便利で安いです.
acr_n5_054,N5,core_n5_conjugation,54,na_adjective_conjugation,na_adverbial_ni,Adverbial na-adjective: に,membuat na-adjective menjadi adverbia,dictionary,na_adjective,any,adjective_group == na_adjective,append_suffix,,に,dictionary_form + に,静か,しずか,shizuka,静かに,しずかに,shizuka ni,Contoh hasil konjugasi.,neutral,none,plain,before_verb,に,true,true,1,https://www.mlcjapanese.co.jp/n5_02_08.html,Contoh: 静かに話します.
acr_n5_055,N4+,boundary_reference,55,na_adjective_conjugation,na_sou_form,Na-adjective そう form,terlihat/sepertinya; biasanya setelah N5 tapi berguna untuk roadmap,dictionary,na_adjective,any,adjective_group == na_adjective,append_suffix,,そう,dictionary_form + そう,便利,べんり,benri,便利そう,べんりそう,benri sou,Contoh hasil konjugasi.,affirmative,non_past,plain,predicate_or_before_noun,そう,false,false,9,https://www.tofugu.com/japanese-grammar/adjective-sou/,Boundary N4-ish; tidak direkomendasikan untuk quiz N5 utama.
acr_n5_056,N5,extended_n5_reference,56,special_prenominal,special_prenominal_na,Bentuk prenominal khusus 大きな/小さな,"Bentuk khusus yang hanya dipakai sebelum noun, bukan conjugation na-adjective penuh.",dictionary,i_adjective_special,い,dictionary_form == 大きい,exception_lookup,大きい->大きな,noun,lookup special prenominal form,大きい,おおきい,ookii,大きな家,おおきないえ,ooki na ie,Rumah yang besar.,affirmative,non_past,plain,before_noun,adjective_plus_noun,false,false,8,https://www.mlcjapanese.co.jp/n5_02_07.html,大きい/小さい tetap i-adjective biasa; 大きな/小さな adalah bentuk prenominal fixed.
acr_n5_057,N5,extended_n5_reference,57,special_prenominal,special_prenominal_na,Bentuk prenominal khusus 大きな/小さな,"Bentuk khusus yang hanya dipakai sebelum noun, bukan conjugation na-adjective penuh.",dictionary,i_adjective_special,い,dictionary_form == 小さい,exception_lookup,小さい->小さな,noun,lookup special prenominal form,小さい,ちいさい,chiisai,小さな家,ちいさないえ,chiisa na ie,Rumah yang kecil.,affirmative,non_past,plain,before_noun,adjective_plus_noun,false,false,8,https://www.mlcjapanese.co.jp/n5_02_07.html,大きい/小さい tetap i-adjective biasa; 大きな/小さな adalah bentuk prenominal fixed.
acr_n5_058,N4+,boundary_reference,58,out_of_scope,adjective_tara_form,Adjective たら form,"kalau/jika; conditional, setelah N5",varies,i_or_na,varies,not recommended for N5 MVP,out_of_scope,,,not in core N5 seed,高かったら,たかかったら,takakattara,高かったら,たかかったら,takakattara,Contoh boundary.,varies,varies,plain,predicate,N4+,false,false,9,https://guidetojapanese.org/learn/category/complete-guide/page/5/,Disimpan agar roadmap tidak kebablasan.
acr_n5_059,N4+,boundary_reference,59,out_of_scope,adjective_ba_form,Adjective ば form,"kalau; conditional, setelah N5",varies,i_or_na,varies,not recommended for N5 MVP,out_of_scope,,,not in core N5 seed,高ければ,たかければ,takakereba,高ければ,たかければ,takakereba,Contoh boundary.,varies,varies,plain,predicate,N4+,false,false,9,https://guidetojapanese.org/learn/category/complete-guide/page/5/,Disimpan agar roadmap tidak kebablasan.
