id,lesson_id,lesson_title_id,map_type,dataset_ref,source_entity_type,filter_json,target_count,required_count,sort_strategy,selection_strategy,quiz_template_keys,srs_card_type,display_mode,review_status,notes
lesson_map_n5_0103,les_1102,てください / ないでください,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,grammar_meaning_choice|grammar_sentence_order,,quiz,curated_seed,
lesson_map_n5_0104,les_1103,ています,primary_content,jlpt_n5_grammar_seed.csv,grammar,"{""grammar_point"": ""～ています""}",15,12,display_order,sequential,grammar_meaning_choice|vocab_sentence_gap,grammar_card,lesson_page,curated_seed,
lesson_map_n5_0105,les_1103,ています,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,grammar_meaning_choice|vocab_sentence_gap,,quiz,curated_seed,
lesson_map_n5_0106,les_1104,てもいい / てはいけません,primary_content,jlpt_n5_grammar_seed.csv,grammar,"{""grammar_point"": [""～てもいいです"", ""～てはいけません""]}",15,12,display_order,sequential,grammar_meaning_choice|grammar_sentence_order,grammar_card,lesson_page,curated_seed,
lesson_map_n5_0107,les_1104,てもいい / てはいけません,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,grammar_meaning_choice|grammar_sentence_order,,quiz,curated_seed,
lesson_map_n5_0108,les_1105,"てから / て, て",primary_content,jlpt_n5_grammar_seed.csv,grammar,"{""grammar_point"": [""～てから"", ""～て、～て""]}",10,8,display_order,sequential,grammar_sentence_order|vocab_sentence_gap,grammar_card,lesson_page,curated_seed,
lesson_map_n5_0109,les_1105,"てから / て, て",quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,grammar_sentence_order|vocab_sentence_gap,,quiz,curated_seed,
lesson_map_n5_0110,les_1201,i-Adjectives,primary_content,jlpt_n5_adjective_conjugation_rules_seed.csv,grammar,"{""adjective_type"": ""i_adjective""}",10,8,display_order,sequential,adjective_conjugation_choice,grammar_card,lesson_page,curated_seed,
lesson_map_n5_0111,les_1201,i-Adjectives,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,adjective_conjugation_choice,,quiz,curated_seed,
lesson_map_n5_0112,les_1202,na-Adjectives,primary_content,jlpt_n5_adjective_conjugation_rules_seed.csv,grammar,"{""adjective_type"": ""na_adjective""}",10,8,display_order,sequential,adjective_conjugation_choice,grammar_card,lesson_page,curated_seed,
lesson_map_n5_0113,les_1202,na-Adjectives,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,adjective_conjugation_choice,,quiz,curated_seed,
lesson_map_n5_0114,les_1203,Adjective Past & Negative,primary_content,jlpt_n5_adjective_conjugation_rules_seed.csv,grammar,"{""form_key"": [""plain_negative"", ""plain_past"", ""polite_negative"", ""polite_past""]}",15,12,display_order,sequential,adjective_conjugation_choice|adjective_conjugation_typing,grammar_card,lesson_page,curated_seed,
lesson_map_n5_0115,les_1203,Adjective Past & Negative,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,adjective_conjugation_choice|adjective_conjugation_typing,,quiz,curated_seed,
lesson_map_n5_0116,les_1204,くて / で / に,primary_content,jlpt_n5_adjective_conjugation_rules_seed.csv,grammar,"{""form_key"": [""te_form"", ""adverbial_form""]}",15,12,display_order,sequential,adjective_conjugation_choice|grammar_sentence_order,grammar_card,lesson_page,curated_seed,
lesson_map_n5_0117,les_1204,くて / で / に,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,adjective_conjugation_choice|grammar_sentence_order,,quiz,curated_seed,
lesson_map_n5_0118,les_1205,Verb & Adjective Gate,primary_content,jlpt_n5_quiz_templates_seed.csv,grammar,"{""lesson_scope"": ""conjugation""}",25,20,display_order,sequential,verb_conjugation_choice|verb_conjugation_typing|adjective_conjugation_choice,grammar_card,lesson_page,curated_seed,
lesson_map_n5_0119,les_1205,Verb & Adjective Gate,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,verb_conjugation_choice|verb_conjugation_typing|adjective_conjugation_choice,,quiz,curated_seed,
lesson_map_n5_0120,les_1301,Radicals 101,primary_content,kanji_radicals_214_seed.csv,kanji,"{""n5_relevant"": ""true""}",15,12,display_order,sequential,kanji_radical_choice,kanji_card,lesson_page,curated_seed,
lesson_map_n5_0121,les_1301,Radicals 101,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_005""}",1,1,display_order,sequential,kanji_radical_choice,,quiz,curated_seed,
lesson_map_n5_0122,les_1302,Stroke Count & Order,primary_content,jlpt_n5_kanji_extended_103.csv,kanji,"{""set_type"": ""core_80_common_n5""}",10,8,display_order,sequential,kanji_stroke_order_ordering,kanji_card,lesson_page,curated_seed,
lesson_map_n5_0123,les_1302,Stroke Count & Order,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_005""}",1,1,display_order,sequential,kanji_stroke_order_ordering,,quiz,curated_seed,
lesson_map_n5_0124,les_1303,Onyomi vs Kunyomi,primary_content,jlpt_n5_kanji_extended_103.csv,kanji,"{""set_type"": ""core_80_common_n5""}",10,8,display_order,sequential,kanji_onkun_choice,kanji_card,lesson_page,curated_seed,
lesson_map_n5_0125,les_1303,Onyomi vs Kunyomi,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_005""}",1,1,display_order,sequential,kanji_onkun_choice,,quiz,curated_seed,
lesson_map_n5_0126,les_1401,Kanji Numbers & Time,primary_content,jlpt_n5_kanji_extended_103.csv,kanji,"{""semantic_group"": ""numbers_time""}",15,12,display_order,sequential,kanji_meaning_choice|kanji_reading_choice,kanji_card,lesson_page,curated_seed,
lesson_map_n5_0127,les_1401,Kanji Numbers & Time,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_005""}",1,1,display_order,sequential,kanji_meaning_choice|kanji_reading_choice,,quiz,curated_seed,
lesson_map_n5_0128,les_1402,Kanji People & Body,primary_content,jlpt_n5_kanji_extended_103.csv,kanji,"{""semantic_group"": ""people_body""}",15,12,display_order,sequential,kanji_meaning_choice|kanji_reading_choice,kanji_card,lesson_page,curated_seed,
lesson_map_n5_0129,les_1402,Kanji People & Body,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_005""}",1,1,display_order,sequential,kanji_meaning_choice|kanji_reading_choice,,quiz,curated_seed,
lesson_map_n5_0130,les_1403,Kanji Nature & Direction,primary_content,jlpt_n5_kanji_extended_103.csv,kanji,"{""semantic_group"": ""nature_direction""}",15,12,display_order,sequential,kanji_meaning_choice|kanji_reading_choice,kanji_card,lesson_page,curated_seed,
lesson_map_n5_0131,les_1403,Kanji Nature & Direction,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_005""}",1,1,display_order,sequential,kanji_meaning_choice|kanji_reading_choice,,quiz,curated_seed,
lesson_map_n5_0132,les_1404,Kanji School & Places,primary_content,jlpt_n5_kanji_extended_103.csv,kanji,"{""semantic_group"": ""school_places""}",15,12,display_order,sequential,kanji_meaning_choice|kanji_reading_choice,kanji_card,lesson_page,curated_seed,
lesson_map_n5_0133,les_1404,Kanji School & Places,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_005""}",1,1,display_order,sequential,kanji_meaning_choice|kanji_reading_choice,,quiz,curated_seed,
lesson_map_n5_0134,les_1405,Kanji Actions & Adjectives,primary_content,jlpt_n5_kanji_extended_103.csv,kanji,"{""semantic_group"": ""actions_adjectives""}",15,12,display_order,sequential,kanji_meaning_choice|kanji_reading_choice,kanji_card,lesson_page,curated_seed,
lesson_map_n5_0135,les_1405,Kanji Actions & Adjectives,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_005""}",1,1,display_order,sequential,kanji_meaning_choice|kanji_reading_choice,,quiz,curated_seed,
lesson_map_n5_0136,les_1406,Kanji Core 80 Gate,primary_content,jlpt_n5_kanji_core_80.csv,kanji,"{""set_type"": ""core_80_common_n5""}",25,20,display_order,sequential,kanji_meaning_choice|kanji_reading_choice|kanji_onkun_choice,kanji_card,lesson_page,curated_seed,
lesson_map_n5_0137,les_1406,Kanji Core 80 Gate,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_005""}",1,1,display_order,sequential,kanji_meaning_choice|kanji_reading_choice|kanji_onkun_choice,,quiz,curated_seed,
lesson_map_n5_0138,les_1407,Extended N5 Kanji,primary_content,jlpt_n5_kanji_extended_103.csv,kanji,"{""set_type"": ""extended_103_old_n5_candidate""}",15,12,display_order,sequential,kanji_meaning_choice|kanji_reading_choice,kanji_card,lesson_page,curated_seed,
lesson_map_n5_0139,les_1407,Extended N5 Kanji,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_005""}",1,1,display_order,sequential,kanji_meaning_choice|kanji_reading_choice,,quiz,curated_seed,
lesson_map_n5_0140,les_1501,Numbers 0–100,primary_content,japanese_numbers_seed.csv,numbers_counters,"{""number_value_range"": ""0-100""}",10,8,display_order,sequential,counter_reading_choice,numbers_counters_card,lesson_page,curated_seed,
lesson_map_n5_0141,les_1501,Numbers 0–100,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_006""}",1,1,display_order,sequential,counter_reading_choice,,quiz,curated_seed,
lesson_map_n5_0142,les_1502,Large Numbers & Yen,primary_content,japanese_numbers_seed.csv|japanese_counter_forms_n5_seed.csv,numbers_counters,"{""counter_id"": ""ctr_en""}",10,8,display_order,sequential,counter_reading_choice,numbers_counters_card,lesson_page,curated_seed,
lesson_map_n5_0143,les_1502,Large Numbers & Yen,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_006""}",1,1,display_order,sequential,counter_reading_choice,,quiz,curated_seed,
lesson_map_n5_0144,les_1503,Clock Time,primary_content,japanese_counter_forms_n5_seed.csv|japanese_calendar_time_n5_seed.csv,numbers_counters,"{""counter_id"": [""ctr_ji"", ""ctr_fun""]}",15,12,display_order,sequential,date_reading_choice|counter_reading_choice,numbers_counters_card,lesson_page,curated_seed,
lesson_map_n5_0145,les_1503,Clock Time,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_006""}",1,1,display_order,sequential,date_reading_choice|counter_reading_choice,,quiz,curated_seed,
lesson_map_n5_0146,les_1504,"Days, Months, Weekdays",primary_content,japanese_calendar_time_n5_seed.csv,numbers_counters,"{""calendar_type"": [""weekday"", ""month_name"", ""day_of_month""]}",15,12,display_order,sequential,date_reading_choice,numbers_counters_card,lesson_page,curated_seed,
lesson_map_n5_0147,les_1504,"Days, Months, Weekdays",quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_006""}",1,1,display_order,sequential,date_reading_choice,,quiz,curated_seed,
lesson_map_n5_0148,les_1601,General Counters つ / 個,primary_content,japanese_counter_forms_n5_seed.csv,numbers_counters,"{""counter_id"": [""ctr_tsu"", ""ctr_ko""]}",10,8,display_order,sequential,counter_reading_choice|counter_usage_choice,numbers_counters_card,lesson_page,curated_seed,
lesson_map_n5_0149,les_1601,General Counters つ / 個,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_006""}",1,1,display_order,sequential,counter_reading_choice|counter_usage_choice,,quiz,curated_seed,
lesson_map_n5_0150,les_1602,People & Animals Counters,primary_content,japanese_counter_forms_n5_seed.csv,numbers_counters,"{""counter_id"": [""ctr_nin"", ""ctr_hiki"", ""ctr_wa"", ""ctr_tou""]}",10,8,display_order,sequential,counter_reading_choice|counter_usage_choice,numbers_counters_card,lesson_page,curated_seed,
lesson_map_n5_0151,les_1602,People & Animals Counters,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_006""}",1,1,display_order,sequential,counter_reading_choice|counter_usage_choice,,quiz,curated_seed,
lesson_map_n5_0152,les_1603,Object Shape Counters,primary_content,japanese_counter_forms_n5_seed.csv,numbers_counters,"{""counter_id"": [""ctr_hon"", ""ctr_mai"", ""ctr_satsu"", ""ctr_dai"", ""ctr_hai""]}",15,12,display_order,sequential,counter_reading_choice|counter_usage_choice,numbers_counters_card,lesson_page,curated_seed,
lesson_map_n5_0153,les_1603,Object Shape Counters,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_006""}",1,1,display_order,sequential,counter_reading_choice|counter_usage_choice,,quiz,curated_seed,
lesson_map_n5_0154,les_1604,"Age, Frequency, Duration",primary_content,japanese_counter_forms_n5_seed.csv,numbers_counters,"{""counter_id"": [""ctr_sai"", ""ctr_kai_times"", ""ctr_jikan"", ""ctr_shuukan"", ""ctr_kagetsu""]}",15,12,display_order,sequential,counter_reading_choice|counter_usage_choice,numbers_counters_card,lesson_page,curated_seed,
lesson_map_n5_0155,les_1604,"Age, Frequency, Duration",quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_006""}",1,1,display_order,sequential,counter_reading_choice|counter_usage_choice,,quiz,curated_seed,
lesson_map_n5_0156,les_1605,Numbers & Counters Gate,primary_content,japanese_counter_forms_n5_seed.csv,numbers_counters,"{""recommended_for_quiz"": ""true""}",25,20,display_order,sequential,counter_reading_choice|counter_usage_choice|date_reading_choice,numbers_counters_card,lesson_page,curated_seed,
lesson_map_n5_0157,les_1605,Numbers & Counters Gate,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_006""}",1,1,display_order,sequential,counter_reading_choice|counter_usage_choice|date_reading_choice,,quiz,curated_seed,
lesson_map_n5_0158,les_1701,Self Introduction,primary_content,jlpt_n5_example_sentences_seed.csv,mixed,"{""sentence_type"": [""basic_sentence"", ""people""]}",15,12,display_order,sequential,vocab_sentence_gap|grammar_sentence_order,,lesson_page,curated_seed,
lesson_map_n5_0159,les_1701,Self Introduction,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,vocab_sentence_gap|grammar_sentence_order,,quiz,curated_seed,
lesson_map_n5_0160,les_1702,At School,primary_content,jlpt_n5_example_sentences_seed.csv,mixed,"{""tags_contains"": ""school""}",15,12,display_order,sequential,vocab_sentence_gap|reading_comprehension_choice,,lesson_page,curated_seed,
lesson_map_n5_0161,les_1702,At School,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_003""}",1,1,display_order,sequential,vocab_sentence_gap|reading_comprehension_choice,,quiz,curated_seed,
lesson_map_n5_0162,les_1703,Shopping,primary_content,jlpt_n5_example_sentences_seed.csv,mixed,"{""sentence_type"": [""shopping"", ""money"", ""counter""]}",15,12,display_order,sequential,vocab_sentence_gap|grammar_sentence_order,,lesson_page,curated_seed,
lesson_map_n5_0163,les_1703,Shopping,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_003""}",1,1,display_order,sequential,vocab_sentence_gap|grammar_sentence_order,,quiz,curated_seed,
lesson_map_n5_0164,les_1704,Restaurant & Food,primary_content,jlpt_n5_example_sentences_seed.csv,mixed,"{""sentence_type"": [""food"", ""preference""]}",15,12,display_order,sequential,vocab_sentence_gap|listening_sentence_choice,,lesson_page,curated_seed,
lesson_map_n5_0165,les_1704,Restaurant & Food,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_007""}",1,1,display_order,sequential,vocab_sentence_gap|listening_sentence_choice,,quiz,curated_seed,
lesson_map_n5_0166,les_1705,Directions & Transport,primary_content,jlpt_n5_example_sentences_seed.csv,mixed,"{""sentence_type"": [""transport"", ""direction""]}",15,12,display_order,sequential,vocab_sentence_gap|listening_sentence_choice,,lesson_page,curated_seed,
lesson_map_n5_0167,les_1705,Directions & Transport,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_007""}",1,1,display_order,sequential,vocab_sentence_gap|listening_sentence_choice,,quiz,curated_seed,
lesson_map_n5_0168,les_1706,Weather & Seasons,primary_content,jlpt_n5_example_sentences_seed.csv,mixed,"{""sentence_type"": [""weather"", ""season""]}",10,8,display_order,sequential,vocab_sentence_gap|reading_true_false,,lesson_page,curated_seed,
lesson_map_n5_0169,les_1706,Weather & Seasons,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_008""}",1,1,display_order,sequential,vocab_sentence_gap|reading_true_false,,quiz,curated_seed,
lesson_map_n5_0170,les_1707,Health & Requests,primary_content,jlpt_n5_example_sentences_seed.csv,mixed,"{""sentence_type"": [""health"", ""request""]}",10,8,display_order,sequential,vocab_sentence_gap|grammar_sentence_order,,lesson_page,curated_seed,
lesson_map_n5_0171,les_1707,Health & Requests,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_004""}",1,1,display_order,sequential,vocab_sentence_gap|grammar_sentence_order,,quiz,curated_seed,
lesson_map_n5_0172,les_1708,Daily Scenario Gate,primary_content,jlpt_n5_example_sentences_seed.csv,mixed,"{""set_type"": ""curated_original_n5""}",25,20,display_order,sequential,vocab_sentence_gap|grammar_sentence_order|listening_sentence_choice,,lesson_page,curated_seed,
lesson_map_n5_0173,les_1708,Daily Scenario Gate,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_001""}",1,1,display_order,sequential,vocab_sentence_gap|grammar_sentence_order|listening_sentence_choice,,quiz,curated_seed,
lesson_map_n5_0174,les_1801,Read Simple Sentences,primary_content,jlpt_n5_example_sentences_seed.csv,reading,"{""difficulty_level"": [1, 2]}",10,8,display_order,sequential,vocab_meaning_choice|reading_true_false,,lesson_page,curated_seed,
lesson_map_n5_0175,les_1801,Read Simple Sentences,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_008""}",1,1,display_order,sequential,vocab_meaning_choice|reading_true_false,,quiz,curated_seed,
lesson_map_n5_0176,les_1802,Short Passage: Daily Routine,primary_content,reading_passages_n5_seed.csv,reading,"{""topic"": ""daily_routine""}",15,12,display_order,sequential,reading_comprehension_choice|reading_true_false,,lesson_page,curated_seed,
lesson_map_n5_0177,les_1802,Short Passage: Daily Routine,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_008""}",1,1,display_order,sequential,reading_comprehension_choice|reading_true_false,,quiz,curated_seed,
lesson_map_n5_0178,les_1803,Short Passage: Schedule & Time,primary_content,reading_passages_n5_seed.csv,reading,"{""topic"": ""schedule_time""}",15,12,display_order,sequential,reading_comprehension_choice|date_reading_choice,,lesson_page,curated_seed,
lesson_map_n5_0179,les_1803,Short Passage: Schedule & Time,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_008""}",1,1,display_order,sequential,reading_comprehension_choice|date_reading_choice,,quiz,curated_seed,
lesson_map_n5_0180,les_1804,Short Passage: Shopping/Notice,primary_content,reading_passages_n5_seed.csv,reading,"{""topic"": ""shopping_notice""}",15,12,display_order,sequential,reading_comprehension_choice|vocab_sentence_gap,,lesson_page,curated_seed,
lesson_map_n5_0181,les_1804,Short Passage: Shopping/Notice,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_008""}",1,1,display_order,sequential,reading_comprehension_choice|vocab_sentence_gap,,quiz,curated_seed,
lesson_map_n5_0182,les_1901,Kana & Vocab Listening,primary_content,kana_characters_hiragana_katakana.csv|jlpt_n5_vocabulary_seed_with_examples.csv,listening,"{""recommended_for_quiz"": ""true""}",10,8,display_order,sequential,kana_audio_choice|vocab_audio_meaning_choice,,lesson_page,curated_seed,
lesson_map_n5_0183,les_1901,Kana & Vocab Listening,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_007""}",1,1,display_order,sequential,kana_audio_choice|vocab_audio_meaning_choice,,quiz,curated_seed,
lesson_map_n5_0184,les_1902,Sentence Listening,primary_content,jlpt_n5_example_sentences_seed.csv,listening,"{""recommended_for_quiz"": ""true""}",15,12,display_order,sequential,listening_sentence_choice,,lesson_page,curated_seed,
lesson_map_n5_0185,les_1902,Sentence Listening,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_007""}",1,1,display_order,sequential,listening_sentence_choice,,quiz,curated_seed,
lesson_map_n5_0186,les_1903,Question & Response,primary_content,listening_scripts_n5_seed.csv,listening,"{""script_type"": ""question_response""}",15,12,display_order,sequential,listening_response_choice,,lesson_page,curated_seed,
lesson_map_n5_0187,les_1903,Question & Response,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_007""}",1,1,display_order,sequential,listening_response_choice,,quiz,curated_seed,
lesson_map_n5_0188,les_1904,Dictation Lite,primary_content,listening_scripts_n5_seed.csv,listening,"{""activity"": ""dictation""}",15,12,display_order,sequential,vocab_typing_reading|listening_sentence_choice,,lesson_page,curated_seed,
lesson_map_n5_0189,les_1904,Dictation Lite,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_007""}",1,1,display_order,sequential,vocab_typing_reading|listening_sentence_choice,,quiz,curated_seed,
lesson_map_n5_0190,les_1905,Reading & Listening Gate,primary_content,jlpt_n5_quiz_sections_seed.csv,reading_listening,"{""section_key"": [""reading_quiz"", ""listening_quiz""]}",25,20,display_order,sequential,reading_comprehension_choice|listening_sentence_choice,,lesson_page,curated_seed,
lesson_map_n5_0191,les_1905,Reading & Listening Gate,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_007|qsec_n5_008""}",1,1,display_order,sequential,reading_comprehension_choice|listening_sentence_choice,,quiz,curated_seed,
lesson_map_n5_0192,les_2001,SRS Catch-up,primary_content,srs_cards_seed.csv,srs,"{""due"": ""true""}",25,20,display_order,sequential,srs_flashcard_front_back,,lesson_page,curated_seed,
lesson_map_n5_0193,les_2002,Weakness Mix Quiz,primary_content,jlpt_n5_quiz_templates_seed.csv,mixed,"{""strategy"": ""lowest_accuracy""}",25,20,display_order,sequential,daily_mixed_quick_quiz,,lesson_page,curated_seed,
lesson_map_n5_0194,les_2002,Weakness Mix Quiz,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_001""}",1,1,display_order,sequential,daily_mixed_quick_quiz,,quiz,curated_seed,
lesson_map_n5_0195,les_2003,Mini Mock: Vocabulary,primary_content,jlpt_n5_quiz_sections_seed.csv,vocabulary,"{""section_key"": ""mock_vocab""}",25,20,display_order,sequential,mock_test_vocab_section,vocabulary_card,lesson_page,curated_seed,
lesson_map_n5_0196,les_2003,Mini Mock: Vocabulary,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_009""}",1,1,display_order,sequential,mock_test_vocab_section,,quiz,curated_seed,
lesson_map_n5_0197,les_2004,Mini Mock: Grammar + Reading,primary_content,jlpt_n5_quiz_sections_seed.csv,grammar_reading,"{""section_key"": ""mock_grammar_reading""}",25,20,display_order,sequential,mock_test_grammar_reading_section,,lesson_page,curated_seed,
lesson_map_n5_0198,les_2004,Mini Mock: Grammar + Reading,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_010""}",1,1,display_order,sequential,mock_test_grammar_reading_section,,quiz,curated_seed,
lesson_map_n5_0199,les_2005,Mini Mock: Listening,primary_content,jlpt_n5_quiz_sections_seed.csv,listening,"{""section_key"": ""mock_listening""}",25,20,display_order,sequential,mock_test_listening_section,,lesson_page,curated_seed,
lesson_map_n5_0200,les_2005,Mini Mock: Listening,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_011""}",1,1,display_order,sequential,mock_test_listening_section,,quiz,curated_seed,
lesson_map_n5_0201,les_2006,Full N5 Mock Test,primary_content,jlpt_n5_quiz_sections_seed.csv,mixed,"{""quiz_mode"": ""mock_test""}",25,20,display_order,sequential,mock_test_vocab_section|mock_test_grammar_reading_section|mock_test_listening_section,,lesson_page,curated_seed,
lesson_map_n5_0202,les_2006,Full N5 Mock Test,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_009|qsec_n5_010|qsec_n5_011""}",1,1,display_order,sequential,mock_test_vocab_section|mock_test_grammar_reading_section|mock_test_listening_section,,quiz,curated_seed,
lesson_map_n5_0203,les_2007,Final Review Plan,primary_content,progress_stats,mixed,"{""source"": ""mock_results""}",15,12,display_order,sequential,daily_mixed_quick_quiz,,lesson_page,curated_seed,
lesson_map_n5_0204,les_2007,Final Review Plan,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_001""}",1,1,display_order,sequential,daily_mixed_quick_quiz,,quiz,curated_seed,
