id,jlpt_level,template_id,template_key,skill_domain,question_type,difficulty_order,prompt_id,prompt_jp,stimulus_jp,stimulus_romaji,stimulus_id,audio_path,image_path,choices_json,correct_answer_json,acceptable_answers_json,explanation_id,source_entity_type,source_entity_id,tags,time_limit_seconds,points,review_status,notes
quiz_n5_sample_0001,N5,qt_n5_001,kana_romaji_choice,kana,multiple_choice_single,1,Apa romaji dari kana ini?,Apa romaji dari kana ini?,あ,a,あ,,,"[{""id"": ""c1"", ""text"": ""a"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""i"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""u"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""e"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""a""}","[""a""]",「あ」 dibaca a.,kana_character,,"kana,romaji",10,1,sample_seed_reviewed,
quiz_n5_sample_0002,N5,qt_n5_002,kana_from_romaji_choice,kana,multiple_choice_single,1,Mana kana untuk romaji ini?,Mana kana untuk romaji ini?,ka,,ka,,,"[{""id"": ""c1"", ""text"": ""か"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""き"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""く"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""け"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""か""}","[""か""]",ka = か.,kana_character,,"kana,choice",10,1,sample_seed_reviewed,
quiz_n5_sample_0003,N5,qt_n5_003,kana_typing,kana,text_entry,1,Ketik romaji dari kana ini.,Ketik romaji dari kana ini.,し,shi,し,,,[],"{""text"": ""shi""}","[""shi""]",「し」 dibaca shi.,kana_character,,"kana,typing",12,1,sample_seed_reviewed,
quiz_n5_sample_0004,N5,qt_n5_004,kana_pair_hira_kata,kana,matching,2,Pasangkan hiragana dan katakana.,Pasangkan hiragana dan katakana.,あ|い|う|え,a i u e,あ い う え / ア イ ウ エ,,,[],"{""pairs"": [[""あ"", ""ア""], [""い"", ""イ""], [""う"", ""ウ""], [""え"", ""エ""]]}","[""""]",Pasangan kana punya bunyi sama.,kana_pair,,"kana,matching",45,4,sample_seed_reviewed,
quiz_n5_sample_0005,N5,qt_n5_006,vocab_meaning_choice,vocabulary,multiple_choice_single,1,Apa arti kata ini?,Apa arti kata ini?,犬,inu,犬,,,"[{""id"": ""c1"", ""text"": ""Anjing"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""Kucing"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""Burung"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""Ikan"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""Anjing""}","[""Anjing""]",犬 berarti anjing.,vocabulary,,"vocab,meaning",15,1,sample_seed_reviewed,
quiz_n5_sample_0006,N5,qt_n5_007,vocab_reading_choice,vocabulary,multiple_choice_single,2,Bacaan yang benar adalah...,Bacaan yang benar adalah...,食べる,taberu,食べる,,,"[{""id"": ""c1"", ""text"": ""たべる"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""のむ"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""みる"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""いく"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""たべる""}","[""たべる""]",食べる dibaca たべる.,vocabulary,,"vocab,reading",15,1,sample_seed_reviewed,
quiz_n5_sample_0007,N5,qt_n5_008,vocab_from_meaning_choice,vocabulary,multiple_choice_single,1,Mana kata Jepang untuk “air”?,Mana kata Jepang untuk “air”?,air,,air,,,"[{""id"": ""c1"", ""text"": ""水"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""火"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""木"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""金"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""水""}","[""水""]",Air = 水.,vocabulary,,"vocab,reverse",15,1,sample_seed_reviewed,
quiz_n5_sample_0008,N5,qt_n5_009,vocab_typing_reading,vocabulary,text_entry,3,Ketik bacaan hiragana dari kata ini.,Ketik bacaan hiragana dari kata ini.,学校,gakkou,学校,,,[],"{""text"": ""がっこう""}","[""がっこう""]",学校 dibaca がっこう.,vocabulary,,"vocab,typing",20,2,sample_seed_reviewed,
quiz_n5_sample_0009,N5,qt_n5_012,particle_gap_choice,grammar,gap_fill_choice,1,Pilih partikel yang tepat.,Pilih partikel yang tepat.,私___学生です。,Watashi ___ gakusei desu.,私___学生です。,,,"[{""id"": ""c1"", ""text"": ""は"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""を"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""で"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""へ"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""は""}","[""は""]","は menandai topik. Ditulis は, dibaca wa.",particle_usage,,"particle,gap",20,1,sample_seed_reviewed,
quiz_n5_sample_0010,N5,qt_n5_012,particle_gap_choice,grammar,gap_fill_choice,2,Pilih partikel yang tepat.,Pilih partikel yang tepat.,水___飲みます。,Mizu ___ nomimasu.,水___飲みます。,,,"[{""id"": ""c1"", ""text"": ""を"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""に"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""が"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""へ"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""を""}","[""を""]",を menandai objek langsung.,particle_usage,,"particle,gap",20,1,sample_seed_reviewed,
quiz_n5_sample_0011,N5,qt_n5_013,grammar_meaning_choice,grammar,multiple_choice_single,1,Apa fungsi grammar ini?,Apa fungsi grammar ini?,～てください,te kudasai,～てください,,,"[{""id"": ""c1"", ""text"": ""Tolong lakukan..."", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""Tidak boleh..."", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""Pernah..."", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""Akan..."", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""Tolong lakukan...""}","[""Tolong lakukan...""]",～てください dipakai untuk permintaan sopan.,grammar_point,,"grammar,meaning",15,1,sample_seed_reviewed,
quiz_n5_sample_0012,N5,qt_n5_015,grammar_sentence_order,grammar,ordering,3,Susun menjadi kalimat benar.,Susun menjadi kalimat benar.,水|を|飲みます,mizu o nomimasu,水 / を / 飲みます,,,[],"{""ordered_ids"": [""水"", ""を"", ""飲みます""]}","[""""]",Urutan dasar: objek + を + verb.,sentence,,sentence_order,45,3,sample_seed_reviewed,
quiz_n5_sample_0013,N5,qt_n5_018,verb_conjugation_choice,grammar,multiple_choice_single,2,Bentuk ます dari 食べる adalah...,Bentuk ます dari 食べる adalah...,食べる,taberu,食べる,,,"[{""id"": ""c1"", ""text"": ""食べます"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""食べません"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""食べて"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""食べた"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""食べます""}","[""食べます""]",Ichidan: drop る + ます.,verb_conjugation_rule,,"verb,conjugation",20,1,sample_seed_reviewed,
quiz_n5_sample_0014,N5,qt_n5_017,verb_conjugation_typing,grammar,text_entry,3,Ubah 読む menjadi て form.,Ubah 読む menjadi て form.,読む,yomu,読む,,,[],"{""text"": ""読んで""}","[""読んで""]",読む adalah godan む: む/ぶ/ぬ → んで.,verb_conjugation_rule,,"verb,conjugation,typing",25,2,sample_seed_reviewed,
quiz_n5_sample_0015,N5,qt_n5_020,adjective_conjugation_choice,grammar,multiple_choice_single,2,Bentuk negatif dari 高い adalah...,Bentuk negatif dari 高い adalah...,高い,takai,高い,,,"[{""id"": ""c1"", ""text"": ""高くない"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""高いない"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""高くありませんでした"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""高かった"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""高くない""}","[""高くない""]",i-adj negatif: い → くない.,adjective_conjugation_rule,,"adj,conjugation",20,1,sample_seed_reviewed,
quiz_n5_sample_0016,N5,qt_n5_019,adjective_conjugation_typing,grammar,text_entry,3,Ubah いい menjadi lampau plain.,Ubah いい menjadi lampau plain.,いい,ii,いい,,,[],"{""text"": ""よかった""}","[""よかった""]",いい punya stem よ untuk konjugasi: よかった.,adjective_conjugation_rule,,"adj,exception",25,2,sample_seed_reviewed,
quiz_n5_sample_0017,N5,qt_n5_021,kanji_meaning_choice,kanji,multiple_choice_single,1,Apa arti kanji ini?,Apa arti kanji ini?,山,yama,山,,,"[{""id"": ""c1"", ""text"": ""Gunung"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""Sungai"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""Api"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""Air"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""Gunung""}","[""Gunung""]",山 berarti gunung.,kanji,,"kanji,meaning",15,1,sample_seed_reviewed,
quiz_n5_sample_0018,N5,qt_n5_022,kanji_reading_choice,kanji,multiple_choice_single,2,Bacaan kata ini adalah...,Bacaan kata ini adalah...,日本,nihon,日本,,,"[{""id"": ""c1"", ""text"": ""にほん"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""にちほん"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""ひもと"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""にっぽ"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""にほん""}","[""にほん""]",日本 umum dibaca にほん.,kanji,,"kanji,reading",15,1,sample_seed_reviewed,
quiz_n5_sample_0019,N5,qt_n5_023,kanji_onkun_choice,kanji,multiple_choice_single,3,Pilih kunyomi dari 山.,Pilih kunyomi dari 山.,山,yama,山,,,"[{""id"": ""c1"", ""text"": ""やま"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""サン"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""セン"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""かわ"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""やま""}","[""やま""]",Kunyomi 山 adalah やま.,kanji,,"kanji,onkun",20,1,sample_seed_reviewed,
quiz_n5_sample_0020,N5,qt_n5_024,kanji_radical_choice,kanji,multiple_choice_single,3,Radical dari 校 adalah...,Radical dari 校 adalah...,校,kou,校,,,"[{""id"": ""c1"", ""text"": ""木"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""言"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""水"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""火"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""木""}","[""木""]",校 memakai radical 木.,kanji_radical,,"kanji,radical",20,1,sample_seed_reviewed,
quiz_n5_sample_0021,N5,qt_n5_026,counter_reading_choice,numbers_counters,multiple_choice_single,2,Bacaan 「一本」 adalah...,Bacaan 「一本」 adalah...,一本,ippon,一本,,,"[{""id"": ""c1"", ""text"": ""いっぽん"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""いちほん"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""いっほん"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""いちぼん"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""いっぽん""}","[""いっぽん""]",一本 dibaca いっぽん.,counter_form,,"counter,reading",15,1,sample_seed_reviewed,
quiz_n5_sample_0022,N5,qt_n5_027,counter_usage_choice,numbers_counters,multiple_choice_single,2,Counter yang tepat untuk ペン adalah...,Counter yang tepat untuk ペン adalah...,ペン,pen,ペン,,,"[{""id"": ""c1"", ""text"": ""本"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""枚"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""匹"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""人"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""本""}","[""本""]",Benda panjang seperti pena memakai 本.,counter_definition,,"counter,usage",15,1,sample_seed_reviewed,
quiz_n5_sample_0023,N5,qt_n5_028,date_reading_choice,numbers_counters,multiple_choice_single,2,Bacaan 「四月」 adalah...,Bacaan 「四月」 adalah...,四月,shigatsu,四月,,,"[{""id"": ""c1"", ""text"": ""しがつ"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""よんがつ"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""よがつ"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""しかつ"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""しがつ""}","[""しがつ""]",四月 dibaca しがつ.,calendar_time,,"date,reading",15,1,sample_seed_reviewed,
quiz_n5_sample_0024,N5,qt_n5_028,date_reading_choice,numbers_counters,multiple_choice_single,3,Bacaan 「二十日」 adalah...,Bacaan 「二十日」 adalah...,二十日,hatsuka,二十日,,,"[{""id"": ""c1"", ""text"": ""はつか"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""にじゅうにち"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""ふつか"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""にちじゅうか"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""はつか""}","[""はつか""]",Tanggal 20 dibaca はつか.,calendar_time,,"date,irregular",15,1,sample_seed_reviewed,
quiz_n5_sample_0025,N5,qt_n5_029,listening_sentence_choice,listening,multiple_choice_single,2,"Dengarkan kalimat, lalu pilih artinya.","Dengarkan kalimat, lalu pilih artinya.",水を飲みます。,Mizu o nomimasu.,[audio],,,"[{""id"": ""c1"", ""text"": ""Saya minum air."", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""Saya makan roti."", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""Saya pergi ke sekolah."", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""Saya membaca buku."", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""Saya minum air.""}","[""Saya minum air.""]",Kalimatnya 水を飲みます。,sentence,,"listening,sentence",25,2,sample_seed_reviewed,
quiz_n5_sample_0026,N5,qt_n5_031,reading_comprehension_choice,reading,multiple_choice_single,3,Baca teks dan jawab.,Baca teks dan jawab.,"私は毎朝六時に起きます。七時に朝ご飯を食べます。

何時に起きますか。",Watashi wa maiasa roku-ji ni okimasu.,私は毎朝六時に起きます。七時に朝ご飯を食べます。,,,"[{""id"": ""c1"", ""text"": ""六時"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""七時"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""八時"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""九時"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""六時""}","[""六時""]",Teks menyebut 六時に起きます。,reading_passage,,"reading,comprehension",75,3,sample_seed_reviewed,
quiz_n5_sample_0027,N5,qt_n5_032,reading_true_false,reading,true_false,2,Pernyataan ini sesuai bacaan?,Pernyataan ini sesuai bacaan?,私は猫が好きです。犬は好きではありません。,Watashi wa neko ga suki desu.,"私は猫が好きです。犬は好きではありません。

私は犬が好きです。",,,"[{""id"": ""c1"", ""text"": ""Benar"", ""is_correct"": false}, {""id"": ""c2"", ""text"": ""Salah"", ""is_correct"": true}]","{""correct_choice_id"": ""c2"", ""correct_value"": ""Salah""}","[""Salah""]",Teks bilang 犬は好きではありません。,reading_passage,,"reading,true_false",45,2,sample_seed_reviewed,
