id,jlpt_level,display_order,skill_domain,lesson_scope,template_key,display_name_id,description_id,question_type,interaction_type,ui_component,source_dataset,source_entity_type,required_fields,prompt_template_id,stem_template_jp,stem_template_id,answer_mode,choice_count,allowed_response_format,case_sensitive,normalize_whitespace,normalize_nfkc,normalize_kana,allow_romaji,requires_audio,requires_image,requires_drag_drop,scoring_strategy,points,partial_credit,time_limit_seconds,difficulty_min,difficulty_max,distractor_strategy,validator_key,feedback_template_id,hint_template_id,recommended_for_mvp,is_jlpt_style,used_in_daily_challenge,tags,source_url,notes
qt_n5_001,N5,1,kana,kana,kana_romaji_choice,Pilih romaji kana,Pilih romaji yang benar untuk kana yang ditampilkan.,multiple_choice_single,choice_interaction,KanaChoiceCard,kana_characters_hiragana_katakana.csv,kana_character,"kana,romaji",Apa romaji dari 「{kana}」?,「{kana}」,Pilih romaji yang benar.,single,4,romaji,false,true,true,true,true,false,false,exact_match,1,false,10,1,2,same_row_or_similar_sound_romaji,romaji_exact,"Benar, 「{kana}」 dibaca {romaji}.",Ingat baris kana dan vokalnya.,true,false,true,"kana,romaji,choice",https://www.imsglobal.org/spec/qti/v3p0/guide,,Kana template for MVP quiz.
qt_n5_002,N5,2,kana,kana,kana_from_romaji_choice,Pilih kana dari romaji,Pilih kana yang sesuai dengan romaji.,multiple_choice_single,choice_interaction,KanaChoiceCard,kana_characters_hiragana_katakana.csv,kana_character,"kana,romaji",Mana kana untuk romaji “{romaji}”?,{romaji},Pilih kana yang benar.,single,4,kana,false,true,true,true,true,false,false,exact_match,1,false,10,1,2,same_row_or_similar_kana,kana_exact,"Benar, {romaji} = 「{kana}」.",Cek vokalnya dulu: a/i/u/e/o.,true,false,true,"kana,choice",https://www.imsglobal.org/spec/qti/v3p0/guide,,Kana template for MVP quiz.
qt_n5_003,N5,3,kana,kana,kana_typing,Ketik romaji kana,Ketik romaji dari kana yang muncul.,text_entry,text_entry_interaction,KanaTypingCard,kana_characters_hiragana_katakana.csv,kana_character,"kana,romaji,input_aliases",Ketik romaji dari 「{kana}」.,「{kana}」,Ketik jawabannya.,text,0,romaji|string,false,true,true,true,true,false,false,alias_match,1,false,12,1,3,none,romaji_alias,Jawaban: {romaji}.,"Kalau kana partikel, lihat konteks. Kalau kana biasa, baca apa adanya.",true,false,true,"kana,typing",https://www.imsglobal.org/spec/qti/v3p0/guide,,Kana template for MVP quiz.
qt_n5_004,N5,4,kana,kana,kana_pair_hira_kata,Pasangkan hiragana-katakana,Pasangkan hiragana dengan katakana yang bunyinya sama.,matching,match_interaction,PairMatchCard,kana_characters_hiragana_katakana.csv,kana_pair,"hiragana,katakana,romaji",Pasangkan hiragana dan katakana yang sama bunyinya.,{hiragana_items} ⇄ {katakana_items},Seret pasangan yang benar.,pairs,0,array<pair>,false,true,true,true,false,false,true,all_or_nothing_or_partial_pairs,4,true,45,1,3,same_romaji_pairs,pair_match,Pasangan benar mengikuti romaji yang sama.,"Cocokkan bunyi, bukan bentuk.",true,false,true,"kana,matching,dragdrop",https://www.imsglobal.org/spec/qti/v3p0/impl,,Kana template for MVP quiz.
qt_n5_005,N5,5,kana,kana,kana_audio_choice,Dengar lalu pilih kana,Pilih kana berdasarkan audio pengucapan.,multiple_choice_single,choice_interaction,ListeningChoiceCard,kana_characters_hiragana_katakana.csv,kana_character,"kana,romaji,audio_path","Dengarkan audio, lalu pilih kana yang benar.",[audio:{audio_path}],Pilih kana yang kamu dengar.,single,4,kana,false,true,true,true,true,true,false,exact_match,1,false,12,1,3,similar_sound_kana,kana_exact,Audio tersebut adalah 「{kana}」.,Dengarkan vokalnya dulu.,true,false,true,"kana,listening",https://www.imsglobal.org/spec/qti/v3p0/guide,,Kana template for MVP quiz.
qt_n5_006,N5,6,vocabulary,vocabulary,vocab_meaning_choice,Tebak arti kosakata,Pilih arti Indonesia dari kata Jepang.,multiple_choice_single,choice_interaction,VocabChoiceCard,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,"expression,reading,meaning_id",Apa arti dari 「{expression}」?,{expression},Pilih arti yang benar.,single,4,meaning_id,false,true,true,true,false,false,false,exact_match,1,false,15,1,4,same_pos_or_semantic_category,choice_exact,「{expression}」 berarti {meaning_id}.,Lihat kanji/kana dan konteks katanya.,true,true,true,"vocab,meaning,choice",https://www.jlpt.jp/e/samples/forlearners.html,,Vocabulary quiz template.
qt_n5_007,N5,7,vocabulary,vocabulary,vocab_reading_choice,Pilih bacaan kosakata,Pilih hiragana yang benar untuk kosakata berkanji.,multiple_choice_single,choice_interaction,VocabReadingCard,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,"expression,reading",Bacaan yang benar untuk 「{expression}」 adalah...,{expression},Pilih bacaan hiragana.,single,4,kana,false,true,true,true,false,false,false,exact_match,1,false,15,1,4,same_kanji_or_similar_reading,kana_exact,Bacaan 「{expression}」 adalah {reading}.,Pisahkan kanji per kanji kalau perlu.,true,true,true,"vocab,reading,kanji",https://www.jlpt.jp/e/samples/forlearners.html,,Vocabulary quiz template.
qt_n5_008,N5,8,vocabulary,vocabulary,vocab_from_meaning_choice,Pilih kata Jepang,Pilih kata Jepang yang cocok dengan arti Indonesia.,multiple_choice_single,choice_interaction,ReverseVocabChoiceCard,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,"expression,meaning_id",Mana kata Jepang untuk “{meaning_id}”?,{meaning_id},Pilih kosakata yang benar.,single,4,expression,false,true,true,true,true,false,false,exact_match,1,false,15,1,4,same_semantic_category,choice_exact,“{meaning_id}” = 「{expression}」.,Cari kata yang paling cocok dengan kategori makna.,true,false,true,"vocab,reverse,choice",https://www.imsglobal.org/spec/qti/v3p0/guide,,Vocabulary quiz template.
qt_n5_009,N5,9,vocabulary,vocabulary,vocab_typing_reading,Ketik bacaan kosakata,Ketik hiragana dari kata berkanji.,text_entry,text_entry_interaction,VocabTypingCard,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,"expression,reading",Ketik bacaan hiragana dari 「{expression}」.,{expression},Ketik bacaan hiragana.,text,0,kana|string,false,true,true,true,false,false,false,exact_or_alias_match,2,false,20,2,5,none,kana_exact,Bacaan yang benar: {reading}.,"Ingat bacaan kosakata, bukan cuma bacaan kanji satuan.",true,false,true,"vocab,typing,reading",https://www.imsglobal.org/spec/qti/v3p0/guide,,Vocabulary quiz template.
qt_n5_010,N5,10,vocabulary,sentence,vocab_sentence_gap,Isi kata dalam kalimat,Pilih kosakata yang paling cocok untuk mengisi kalimat.,gap_fill_choice,inline_choice_interaction,GapFillCard,jlpt_n5_example_sentences_seed.csv,sentence,"sentence_jp,target_vocab_terms",Lengkapi kalimat berikut.,{sentence_with_blank},Pilih kata yang cocok.,single,4,expression,false,true,true,true,true,false,false,exact_match,2,false,25,2,5,same_pos_same_category,gap_exact,Kata yang cocok: {answer}.,Baca partikel sebelum/sesudah blank.,true,true,true,"vocab,sentence,gapfill",https://www.imsglobal.org/spec/qti/v3p0/impl,,Vocabulary quiz template.
qt_n5_011,N5,11,vocabulary,listening,vocab_audio_meaning_choice,Dengar kata lalu pilih arti,Pilih arti kata berdasarkan audio.,multiple_choice_single,choice_interaction,ListeningChoiceCard,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,"audio_path,expression,meaning_id","Dengarkan kata, lalu pilih artinya.",[audio:{audio_path}],Pilih arti yang benar.,single,4,meaning_id,false,true,true,true,false,true,false,exact_match,1,false,15,2,4,same_semantic_category,choice_exact,Audio tersebut adalah {expression}: {meaning_id}.,Dengarkan suku kata awal dan akhir.,true,false,true,"vocab,listening",https://www.imsglobal.org/spec/qti/v3p0/guide,,Vocabulary quiz template.
qt_n5_012,N5,12,grammar,particles,particle_gap_choice,Pilih partikel,Pilih partikel yang tepat untuk kalimat rumpang.,gap_fill_choice,inline_choice_interaction,ParticleGapCard,jlpt_n5_particles_seed.csv|jlpt_n5_example_sentences_seed.csv,particle_usage,"particle,example_jp",Pilih partikel yang tepat.,{sentence_with_blank},Pilih partikel.,single,4,kana,false,true,true,true,false,false,false,exact_match,1,false,20,1,4,confusable_particles,particle_exact,Partikel yang benar: {particle}. {usage_explanation_id},Lihat fungsi kata sebelum/sesudah blank.,true,true,true,"particle,gapfill,grammar",https://www.jlpt.jp/e/samples/forlearners.html,,Grammar/conjugation quiz template.
qt_n5_013,N5,13,grammar,grammar,grammar_meaning_choice,Tebak fungsi grammar,Pilih arti/fungsi grammar Jepang.,multiple_choice_single,choice_interaction,GrammarChoiceCard,jlpt_n5_grammar_seed.csv,grammar_point,"grammar_point,meaning_id",Apa fungsi grammar 「{grammar_point}」?,{grammar_point},Pilih fungsi yang benar.,single,4,meaning_id,false,true,true,true,false,false,false,exact_match,1,false,15,1,4,same_category_grammar,choice_exact,「{grammar_point}」 berarti/fungsinya: {meaning_id}.,Cek pola dan contoh yang biasa muncul.,true,false,true,"grammar,meaning,choice",https://www.jlpt.jp/e/samples/forlearners.html,,Grammar/conjugation quiz template.
qt_n5_014,N5,14,grammar,grammar,grammar_structure_choice,Pilih rumus grammar,Pilih struktur/rumus yang benar untuk grammar.,multiple_choice_single,choice_interaction,GrammarStructureCard,jlpt_n5_grammar_seed.csv,grammar_point,"grammar_point,structure_pattern",Rumus yang benar untuk 「{grammar_point}」 adalah...,{grammar_point},Pilih struktur.,single,4,pattern|string,false,true,true,true,false,false,false,exact_match,1,false,20,2,5,same_category_wrong_patterns,pattern_exact,Rumus: {structure_pattern}.,Ingat bentuk sebelum/ sesudah grammar point.,true,false,true,"grammar,pattern,choice",https://www.imsglobal.org/spec/qti/v3p0/guide,,Grammar/conjugation quiz template.
qt_n5_015,N5,15,grammar,sentence,grammar_sentence_order,Susun kalimat,Susun potongan kalimat menjadi kalimat Jepang yang benar.,ordering,order_interaction,SentenceOrderCard,jlpt_n5_example_sentences_seed.csv,sentence,sentence_jp,Susun potongan kata berikut menjadi kalimat yang benar.,{shuffled_tokens},Seret urutan kata.,ordered_list,0,array<string>,false,true,true,true,false,false,true,sequence_match_partial,3,true,45,2,5,shuffle_sentence_tokens,sequence_validator,Urutan benar: {sentence_jp},"Cari predikat akhir, lalu subjek/topik dan objek.",true,true,true,"grammar,sentence_order,dragdrop",https://www.imsglobal.org/spec/qti/v3p0/impl,,Grammar/conjugation quiz template.
qt_n5_016,N5,16,grammar,grammar,grammar_error_choice,Pilih bagian yang salah,Pilih bagian kalimat yang salah secara grammar.,multiple_choice_single,hottext_interaction,ErrorFindCard,jlpt_n5_grammar_seed.csv,grammar_point,"example_jp,confusable_with",Pilih bagian yang salah.,{sentence_with_error},Klik bagian yang salah.,single,4,token_index,false,true,true,true,false,false,false,exact_match,3,false,35,3,5,known_confusable_grammar,token_index_exact,Bagian salah: {wrong_token}. Bentuk benar: {corrected_sentence}.,Cek partikel dan bentuk kata kerja.,false,true,false,"grammar,error_find",https://www.imsglobal.org/spec/qti/v3p0/impl,,Grammar/conjugation quiz template.
qt_n5_017,N5,17,grammar,conjugation,verb_conjugation_typing,Ketik konjugasi kata kerja,Ubah kata kerja ke bentuk yang diminta.,text_entry,text_entry_interaction,ConjugationTypingCard,jlpt_n5_verb_conjugation_rules_seed.csv,verb_conjugation_rule,"example_verb,form_key,example_result",Ubah 「{verb}」 menjadi {form_name_id}.,{verb} → ?,Ketik bentuk yang benar.,text,0,japanese|string,false,true,true,true,false,false,false,exact_or_reading_match,2,false,25,2,5,none,conjugation_exact,Jawaban: {expected}.,"Cek grup verb dulu: godan, ichidan, atau irregular.",true,false,true,"verb,conjugation,typing",https://www.imsglobal.org/spec/qti/v3p0/guide,,Grammar/conjugation quiz template.
qt_n5_018,N5,18,grammar,conjugation,verb_conjugation_choice,Pilih konjugasi kata kerja,Pilih bentuk kata kerja yang benar.,multiple_choice_single,choice_interaction,ConjugationChoiceCard,jlpt_n5_verb_conjugation_rules_seed.csv,verb_conjugation_rule,"example_verb,form_key,example_result",Bentuk {form_name_id} dari 「{verb}」 adalah...,{verb},Pilih konjugasi yang benar.,single,4,japanese|string,false,true,true,true,false,false,false,exact_match,1,false,20,1,4,same_verb_wrong_forms,choice_exact,Jawaban: {expected}.,Lihat ending kata kerja dan rule-nya.,true,false,true,"verb,conjugation,choice",https://www.imsglobal.org/spec/qti/v3p0/guide,,Grammar/conjugation quiz template.
qt_n5_019,N5,19,grammar,conjugation,adjective_conjugation_typing,Ketik konjugasi adjective,Ubah adjective ke bentuk yang diminta.,text_entry,text_entry_interaction,ConjugationTypingCard,jlpt_n5_adjective_conjugation_rules_seed.csv,adjective_conjugation_rule,"adjective,form_key,expected",Ubah 「{adjective}」 menjadi {form_name_id}.,{adjective} → ?,Ketik bentuk yang benar.,text,0,japanese|string,false,true,true,true,false,false,false,exact_match,2,false,25,2,5,none,conjugation_exact,Jawaban: {expected}.,i-adj ubah い; na-adj pakai です/ではありません/な.,true,false,true,"adjective,conjugation,typing",https://www.imsglobal.org/spec/qti/v3p0/guide,,Grammar/conjugation quiz template.
qt_n5_020,N5,20,grammar,conjugation,adjective_conjugation_choice,Pilih konjugasi adjective,Pilih bentuk adjective yang benar.,multiple_choice_single,choice_interaction,ConjugationChoiceCard,jlpt_n5_adjective_conjugation_rules_seed.csv,adjective_conjugation_rule,"adjective,form_key,expected",Bentuk {form_name_id} dari 「{adjective}」 adalah...,{adjective},Pilih bentuk yang benar.,single,4,japanese|string,false,true,true,true,false,false,false,exact_match,1,false,20,1,4,same_adjective_wrong_forms,choice_exact,Jawaban: {expected}.,Hati-hati いい → よかった/よくない.,true,false,true,"adjective,conjugation,choice",https://www.imsglobal.org/spec/qti/v3p0/guide,,Grammar/conjugation quiz template.
qt_n5_021,N5,21,kanji,kanji,kanji_meaning_choice,Tebak arti kanji,Pilih arti Indonesia dari kanji.,multiple_choice_single,choice_interaction,KanjiChoiceCard,jlpt_n5_kanji_extended_103.csv,kanji,"kanji,meaning_id",Apa arti kanji 「{kanji}」?,{kanji},Pilih arti.,single,4,meaning_id,false,true,true,true,false,false,false,exact_match,1,false,15,1,4,same_semantic_or_similar_shape,choice_exact,「{kanji}」 berarti {meaning_id}.,Hubungkan bentuk kanji dengan mnemonic/radical.,true,true,true,"kanji,meaning,choice",https://www.jlpt.jp/e/samples/forlearners.html,,Kanji quiz template.
qt_n5_022,N5,22,kanji,kanji,kanji_reading_choice,Pilih bacaan kanji/kata,Pilih bacaan yang benar dari contoh kata kanji.,multiple_choice_single,choice_interaction,KanjiReadingCard,jlpt_n5_kanji_extended_103.csv,kanji,"example_word,example_reading",Bacaan 「{example_word}」 adalah...,{example_word},Pilih bacaan.,single,4,kana,false,true,true,true,false,false,false,exact_match,1,false,15,1,4,same_kanji_or_similar_kana,kana_exact,Bacaan: {example_reading}.,"Ingat contoh kata, bukan hanya onyomi/kunyomi.",true,true,true,"kanji,reading,choice",https://www.jlpt.jp/e/samples/forlearners.html,,Kanji quiz template.
qt_n5_023,N5,23,kanji,kanji,kanji_onkun_choice,Pilih onyomi/kunyomi,Pilih bacaan onyomi atau kunyomi yang benar.,multiple_choice_single,choice_interaction,KanjiOnKunCard,jlpt_n5_kanji_extended_103.csv,kanji,"kanji,onyomi_katakana,kunyomi_hiragana",Pilih {reading_type} dari kanji 「{kanji}」.,{kanji},Pilih bacaan.,single,4,kana,false,true,true,true,false,false,false,exact_match,1,false,20,2,5,same_row_readings,reading_exact,Bacaan {reading_type}: {answer}.,Onyomi biasanya katakana; kunyomi hiragana.,true,false,true,"kanji,onyomi,kunyomi",https://www.imsglobal.org/spec/qti/v3p0/guide,,Kanji quiz template.
qt_n5_024,N5,24,kanji,radicals,kanji_radical_choice,Tebak radical kanji,Pilih radical utama dari kanji.,multiple_choice_single,choice_interaction,KanjiRadicalCard,jlpt_n5_kanji_radical_map_seed.csv,kanji_radical,"kanji,canonical_radical,radical_meaning_id",Radical dari kanji 「{kanji}」 adalah...,{kanji},Pilih radical.,single,4,radical,false,true,true,true,false,false,false,exact_match,1,false,20,2,5,similar_radical_or_shape,radical_exact,Radical: {canonical_radical} ({radical_meaning_id}).,Cari komponen utama kanji.,false,false,false,"kanji,radical,choice",https://www.imsglobal.org/spec/qti/v3p0/guide,,Kanji quiz template.
qt_n5_025,N5,25,kanji,stroke_order,kanji_stroke_order_ordering,Urutkan stroke kanji,Susun urutan goresan kanji sederhana.,ordering,order_interaction,StrokeOrderCard,jlpt_n5_kanji_extended_103.csv,kanji,"kanji,stroke_order_path",Susun urutan goresan untuk 「{kanji}」.,[stroke_parts:{stroke_order_path}],Seret urutan stroke.,ordered_list,0,array<int>,false,true,true,true,false,true,true,sequence_match_partial,3,true,60,3,5,shuffle_stroke_indices,stroke_sequence,Urutan stroke mengikuti animasi/SVG.,"Biasanya atas ke bawah, kiri ke kanan.",false,false,false,"kanji,stroke_order,dragdrop",https://www.imsglobal.org/spec/qti/v3p0/impl,,Kanji quiz template.
qt_n5_026,N5,26,numbers_counters,counters,counter_reading_choice,Pilih bacaan counter,Pilih bacaan benar untuk angka + counter.,multiple_choice_single,choice_interaction,CounterChoiceCard,japanese_counter_forms_n5_seed.csv,counter_form,"form_kanji,reading_kana",Bacaan 「{form_kanji}」 adalah...,{form_kanji},Pilih bacaan.,single,4,kana,false,true,true,true,false,false,false,exact_match,1,false,15,1,4,same_counter_sound_changes,kana_exact,Bacaan: {reading_kana}.,Perhatikan perubahan bunyi: ぽん/ぼん/ぷん/dll.,true,false,true,"counter,reading,choice",https://www.imsglobal.org/spec/qti/v3p0/guide,,Numbers/listening/reading template.
qt_n5_027,N5,27,numbers_counters,counters,counter_usage_choice,Pilih counter yang tepat,Pilih counter yang cocok untuk benda/orang/hewan.,multiple_choice_single,choice_interaction,CounterUsageCard,japanese_counters_seed.csv,counter_definition,"counter_symbol,usage_id,example_nouns_jp",Counter yang tepat untuk {example_noun} adalah...,{example_noun},Pilih counter.,single,4,counter_symbol,false,true,true,true,false,false,false,exact_match,1,false,15,1,4,common_counter_choices,counter_exact,Counter yang cocok: {counter_symbol}.,"Cek bentuk benda: orang, hewan kecil, benda panjang, benda datar.",true,false,true,"counter,usage,choice",https://www.imsglobal.org/spec/qti/v3p0/guide,,Numbers/listening/reading template.
qt_n5_028,N5,28,numbers_counters,calendar_time,date_reading_choice,Pilih bacaan tanggal/bulan,Pilih bacaan benar untuk tanggal/bulan Jepang.,multiple_choice_single,choice_interaction,DateTimeChoiceCard,japanese_calendar_time_n5_seed.csv,calendar_time,"kanji,reading_kana",Bacaan 「{kanji}」 adalah...,{kanji},Pilih bacaan.,single,4,kana,false,true,true,true,false,false,false,exact_match,1,false,15,1,4,calendar_irregulars,kana_exact,Bacaan: {reading_kana}.,"Tanggal Jepang banyak irregular, sabar ya wkwk.",true,false,true,"date,time,reading",https://www.jlpt.jp/e/samples/forlearners.html,,Numbers/listening/reading template.
qt_n5_029,N5,29,listening,sentence,listening_sentence_choice,Dengar kalimat lalu pilih arti,Pilih arti yang sesuai dengan audio kalimat.,multiple_choice_single,choice_interaction,ListeningChoiceCard,jlpt_n5_example_sentences_seed.csv,sentence,"sentence_jp,meaning_id,audio_path","Dengarkan kalimat, lalu pilih artinya.",[audio:{audio_path}],Pilih arti yang benar.,single,4,meaning_id,false,true,true,true,false,true,false,exact_match,2,false,25,1,5,same_topic_sentence_meanings,choice_exact,Kalimatnya: {sentence_jp}.,"Tangkap kata kunci: waktu, tempat, objek, verba.",true,true,true,"listening,sentence,choice",https://www.jlpt.jp/e/samples/forlearners.html,,Numbers/listening/reading template.
qt_n5_030,N5,30,listening,conversation,listening_response_choice,Dengar pertanyaan lalu pilih respon,Pilih jawaban/respon yang paling alami.,multiple_choice_single,choice_interaction,ListeningResponseCard,listening_scripts_n5_seed.csv,listening_script,"audio_path,question_jp,choices","Dengarkan pertanyaan, lalu pilih respon yang tepat.",[audio:{audio_path}],Pilih respon.,single,3,sentence|string,false,true,true,true,false,true,false,exact_match,2,false,25,2,5,pragmatic_response_distractors,choice_exact,Respon yang tepat: {answer}.,Perhatikan apakah pertanyaannya はい/いいえ atau informasi.,false,true,false,"listening,response",https://www.jlpt.jp/e/samples/forlearners.html,,Numbers/listening/reading template.
qt_n5_031,N5,31,reading,reading,reading_comprehension_choice,Jawab pertanyaan bacaan,Baca teks pendek lalu pilih jawaban yang benar.,multiple_choice_single,choice_interaction,ReadingQuestionCard,reading_passages_n5_seed.csv,reading_passage,"passage_jp,question_jp,answer","Baca teks berikut, lalu jawab pertanyaan.","{passage_jp}

{question_jp}",Pilih jawaban.,single,4,sentence|string,false,true,true,true,false,false,false,exact_match,3,false,75,2,5,same_passage_context_choices,choice_exact,Jawaban: {answer}.,Cari kalimat yang menyebut informasi pertanyaan.,true,true,true,"reading,comprehension",https://www.jlpt.jp/e/samples/forlearners.html,,Numbers/listening/reading template.
qt_n5_032,N5,32,reading,reading,reading_true_false,Benar atau salah dari bacaan,Tentukan apakah pernyataan sesuai dengan bacaan.,true_false,choice_interaction,TrueFalseCard,reading_passages_n5_seed.csv,reading_passage,"passage_jp,statement_jp,is_true",Pernyataan berikut sesuai bacaan atau tidak?,"{passage_jp}

{statement_jp}",Pilih benar/salah.,single,2,boolean,false,true,true,true,false,false,false,exact_match,2,false,45,1,4,negated_or_changed_detail,boolean_exact,Cek detail pada bacaan.,Jangan jawab pakai feeling anime protagonist.,false,false,false,"reading,true_false",https://www.imsglobal.org/spec/qti/v3p0/guide,,Numbers/listening/reading template.
qt_n5_033,N5,33,kana_kanji,stroke_order,image_hotspot_kana_stroke,Klik stroke yang diminta,Klik bagian gambar/kanji/kana yang sesuai.,hotspot,hotspot_interaction,HotspotCard,kana_characters_hiragana_katakana.csv|jlpt_n5_kanji_extended_103.csv,stroke_asset,"image_path,hotspots_json",Klik stroke nomor {stroke_number}.,[image:{image_path}],Klik area yang benar.,hotspot,0,coordinates|polygon,false,true,true,true,false,true,false,hotspot_region_match,2,false,30,3,5,nearby_strokes,hotspot_exact,Area benar adalah stroke nomor {stroke_number}.,Ikuti arah animasi stroke.,false,false,false,"stroke,hotspot,image",https://www.imsglobal.org/spec/qti/v3p0/impl,,Numbers/listening/reading template.
qt_n5_034,N5,34,srs,flashcard,srs_flashcard_front_back,Flashcard recall,"Tampilkan front, user mengingat back lalu self-grade.",self_grade,custom_flashcard_interaction,FlashcardReviewCard,vocab|kanji|grammar|kana,srs_card,"front,back",Ingat jawaban kartu ini.,{front},Tampilkan jawaban lalu nilai sendiri.,self_grade,4,again|hard|good|easy,false,true,true,true,true,false,false,srs_self_grade,0,false,0,1,5,none,srs_rating,Rating tersimpan untuk jadwal SRS.,"Jujur sama diri sendiri, jangan sok jago wkwk.",true,false,true,"srs,flashcard",https://www.1edtech.org/standards/qti/index,,Composite/meta quiz template.
qt_n5_035,N5,35,mixed,daily_challenge,daily_mixed_quick_quiz,Daily mixed quick quiz,Template container untuk quiz campuran harian.,composite_quiz,assessment_test,DailyChallengeQuiz,all_seed_files,mixed,"template_pool,question_count",Kerjakan quiz campuran hari ini.,{question_set},Jawab semua soal.,mixed,0,mixed,false,true,true,true,true,mixed,mixed,sum_item_scores,10,true,300,1,4,adaptive_weakness_based,composite_score,Skor dihitung dari semua item.,Prioritaskan item review yang hampir lupa.,true,false,true,"daily_challenge,mixed",https://www.1edtech.org/standards/qti/index,,Composite/meta quiz template.
qt_n5_036,N5,36,mock_test,vocabulary,mock_test_vocab_section,Mock test vocabulary section,Section vocabulary bergaya JLPT N5.,assessment_section,assessment_testpart,MockTestSection,quiz_templates,template_pool,"vocab_templates,time_limit",Bagian Kosakata.,{vocab_questions},Jawab sesuai waktu.,mixed,0,mixed,false,true,true,true,true,mixed,mixed,sum_scaled_score,0,true,1200,1,5,jlpt_vocab_distribution,section_score,Review jawaban setelah selesai.,Jangan kelamaan di satu soal.,false,true,false,"mocktest,vocabulary",https://www.jlpt.jp/sp/e/guideline/testsections.html,,Composite/meta quiz template.
qt_n5_037,N5,37,mock_test,grammar_reading,mock_test_grammar_reading_section,Mock grammar-reading section,Section grammar + reading bergaya JLPT N5.,assessment_section,assessment_testpart,MockTestSection,quiz_templates,template_pool,"grammar_reading_templates,time_limit",Bagian Grammar dan Reading.,{grammar_reading_questions},Jawab sesuai waktu.,mixed,0,mixed,false,true,true,true,true,mixed,mixed,sum_scaled_score,0,true,2400,1,5,jlpt_grammar_reading_distribution,section_score,Review jawaban setelah selesai.,Baca pertanyaan dulu baru teks jika panjang.,false,true,false,"mocktest,grammar,reading",https://www.jlpt.jp/sp/e/guideline/testsections.html,,Composite/meta quiz template.
qt_n5_038,N5,38,mock_test,listening,mock_test_listening_section,Mock listening section,Section listening bergaya JLPT N5.,assessment_section,assessment_testpart,MockTestSection,quiz_templates|audio,template_pool,"listening_templates,time_limit,audio_path",Bagian Listening.,{listening_questions},Dengarkan audio lalu jawab.,mixed,0,mixed,false,true,true,true,true,true,mixed,sum_scaled_score,0,true,1800,1,5,jlpt_listening_distribution,section_score,Review transkrip setelah selesai.,Fokus kata kunci dan pilihan jawaban.,false,true,false,"mocktest,listening",https://www.jlpt.jp/sp/e/guideline/testsections.html,,Composite/meta quiz template.
