id,jlpt_level,set_type,display_order,passage_key,title_id,title_en,topic,difficulty_order,reading_format,passage_jp,passage_romaji,passage_id,character_count,estimated_reading_seconds,question_count,target_vocab_ids,target_vocab_terms,target_grammar_ids,target_grammar_points,target_kanji_ids,target_kanji_chars,structured_data_json,recommended_for_mvp,recommended_for_quiz,used_in_mock_test,source_basis,source_url,review_status,notes
read_n5_0001,N5,curated_original_reading_n5,1,self_intro_aya,自己紹介：アヤさん,,self_introduction,1,short_profile,はじめまして。私はアヤです。インドネシア人です。大学生です。毎日、日本語を勉強します。どうぞよろしくお願いします。,"Hajimemashite. Watashi wa Aya desu. Indoneshia-jin desu. Daigakusei desu. Mainichi, nihongo o benkyou shimasu. Douzo yoroshiku onegai shimasu.",Perkenalkan. Saya Aya. Saya orang Indonesia. Saya mahasiswa. Setiap hari saya belajar bahasa Jepang. Senang berkenalan dengan Anda.,57,52,3,vocab_n5_0714|vocab_n5_0618,私|インドネシア人|大学生|毎日|日本語|勉強する,grm_n5_079|grm_n5_060,～です|は|を,kanji_n5_004|kanji_n5_006|kanji_n5_031|kanji_n5_021|kanji_n5_069|kanji_n5_001|kanji_n5_009|kanji_n5_060,人大学生毎日本語,{},true,true,false,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original N5-style reading passage. Not copied from official JLPT.
read_n5_0002,N5,curated_original_reading_n5,2,daily_morning_taro,太郎さんの朝,,daily_routine,1,short_story,太郎さんは毎朝六時に起きます。七時に朝ご飯を食べます。八時に家を出ます。学校へは自転車で行きます。,Tarou-san wa maiasa roku-ji ni okimasu. Shichi-ji ni asa-gohan o tabemasu. Hachi-ji ni ie o demasu. Gakkou e wa jitensha de ikimasu.,Taro bangun jam enam setiap pagi. Ia sarapan jam tujuh. Jam delapan ia keluar rumah. Ia pergi ke sekolah dengan sepeda.,49,46,3,vocab_n5_0615|vocab_n5_0105|vocab_n5_0393|vocab_n5_0047|vocab_n5_0436|vocab_n5_0168|vocab_n5_0302|vocab_n5_0049,毎朝|六時|起きる|七時|朝ご飯|食べる|八時|家|出る|学校|自転車|行く,grm_n5_012|grm_n5_048|grm_n5_060|grm_n5_051|grm_n5_005,ます|に|を|へ|で,kanji_n5_069|kanji_n5_037|kanji_n5_014|kanji_n5_042|kanji_n5_064|kanji_n5_036|kanji_n5_012|kanji_n5_031|kanji_n5_059|kanji_n5_065|kanji_n5_015,毎六時七食八出学校車行,{},true,true,false,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original N5-style reading passage. Not copied from official JLPT.
read_n5_0003,N5,curated_original_reading_n5,3,school_test,学校のテスト,,school,1,short_story,今日は月曜日です。学校で日本語のテストがあります。テストは午前十時からです。昼休みに友達とパンを食べます。,Kyou wa getsuyoubi desu. Gakkou de nihongo no tesuto ga arimasu. Tesuto wa gozen juu-ji kara desu. Hiru-yasumi ni tomodachi to pan o tabemasu.,"Hari ini Senin. Di sekolah ada tes bahasa Jepang. Tes mulai pukul 10 pagi. Saat istirahat siang, saya makan roti dengan teman.",53,49,3,vocab_n5_0204|vocab_n5_0239|vocab_n5_0168|vocab_n5_0432|vocab_n5_0256|vocab_n5_0469|vocab_n5_0552|vocab_n5_0393,今日|月曜日|学校|日本語|テスト|午前|十時|昼休み|友達|パン|食べる,grm_n5_012|grm_n5_005|grm_n5_052|grm_n5_023|grm_n5_048|grm_n5_075|grm_n5_060,あります|で|の|から|に|と|を,kanji_n5_027|kanji_n5_001|kanji_n5_017|kanji_n5_031|kanji_n5_059|kanji_n5_009|kanji_n5_060|kanji_n5_047|kanji_n5_020|kanji_n5_007|kanji_n5_014|kanji_n5_078|kanji_n5_076|kanji_n5_064,今日月学校本語午前十時休友食,{},true,true,false,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original N5-style reading passage. Not copied from official JLPT.
read_n5_0004,N5,curated_original_reading_n5,4,family_photo,家族の写真,,family,1,description,これは私の家族の写真です。父は会社員です。母は料理が上手です。妹は十歳です。犬もいます。,Kore wa watashi no kazoku no shashin desu. Chichi wa kaishain desu. Haha wa ryouri ga jouzu desu. Imouto wa jussai desu. Inu mo imasu.,Ini foto keluarga saya. Ayah saya pegawai kantor. Ibu saya pandai memasak. Adik perempuan saya berumur sepuluh tahun. Ada anjing juga.,44,43,3,vocab_n5_0268|vocab_n5_0714|vocab_n5_0165|vocab_n5_0311|vocab_n5_0406|vocab_n5_0542|vocab_n5_0701|vocab_n5_0319|vocab_n5_0068|vocab_n5_0065,これ|私|家族|写真|父|会社員|母|料理|上手|妹|十歳|犬,grm_n5_110|grm_n5_052|grm_n5_079|grm_n5_034|grm_n5_014,これ|の|は|も|います,kanji_n5_079|kanji_n5_085|kanji_n5_092|kanji_n5_072|kanji_n5_024|kanji_n5_093|kanji_n5_007,父会社母上手十,{},true,true,false,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original N5-style reading passage. Not copied from official JLPT.
read_n5_0005,N5,curated_original_reading_n5,5,room_items,部屋の中,,location,1,description,私の部屋は小さいですが、きれいです。机の上に本が三冊あります。ベッドの下にかばんがあります。窓の近くに花があります。,"Watashi no heya wa chiisai desu ga, kirei desu. Tsukue no ue ni hon ga san-satsu arimasu. Beddo no shita ni kaban ga arimasu. Mado no chikaku ni hana ga arimasu.","Kamar saya kecil, tetapi bersih. Di atas meja ada tiga buku. Di bawah tempat tidur ada tas. Dekat jendela ada bunga.",58,53,3,vocab_n5_0714|vocab_n5_0596|vocab_n5_0399|vocab_n5_0211|vocab_n5_0417|vocab_n5_0076|vocab_n5_0610|vocab_n5_0594|vocab_n5_0299|vocab_n5_0172|vocab_n5_0631|vocab_n5_0403|vocab_n5_0538,私|部屋|小さい|きれい|机|上|本|三冊|ベッド|下|かばん|窓|近く|花,grm_n5_052|grm_n5_011|grm_n5_012|grm_n5_048,の|が|あります|に|ですが,kanji_n5_041|kanji_n5_024|kanji_n5_009|kanji_n5_013|kanji_n5_038|kanji_n5_084,小上本三下花,{},true,true,false,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original N5-style reading passage. Not copied from official JLPT.
read_n5_0006,N5,curated_original_reading_n5,6,shopping_bag,スーパーで,,shopping,1,short_story,午後、スーパーへ行きました。りんごを三つと牛乳を一本買いました。全部で六百円でした。家で母と食べました。,"Gogo, suupaa e ikimashita. Ringo o mittsu to gyuunyuu o ippon kaimashita. Zenbu de roppyaku-en deshita. Ie de haha to tabemashita.",Sore/siang saya pergi ke supermarket. Saya membeli tiga apel dan satu botol susu. Totalnya 600 yen. Di rumah saya makan bersama ibu.,52,49,3,vocab_n5_0253|vocab_n5_0049|vocab_n5_0643|vocab_n5_0203|vocab_n5_0149|vocab_n5_0357|vocab_n5_0047|vocab_n5_0542|vocab_n5_0393,午後|スーパー|行く|りんご|三つ|牛乳|一本|買う|全部|六百円|家|母|食べる,grm_n5_051|grm_n5_092|grm_n5_060|grm_n5_075|grm_n5_005,へ|ました|を|と|で,kanji_n5_047|kanji_n5_019|kanji_n5_015|kanji_n5_013|kanji_n5_002|kanji_n5_009|kanji_n5_101|kanji_n5_037|kanji_n5_048|kanji_n5_033|kanji_n5_072|kanji_n5_064,午後行三一本買六百円母食,{},true,true,false,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original N5-style reading passage. Not copied from official JLPT.
read_n5_0007,N5,curated_original_reading_n5,7,restaurant_menu,レストランのメニュー,,restaurant,1,menu,レストランのメニューです。カレーは七百円です。ラーメンは六百円です。水は無料です。コーヒーは三百円です。,Resutoran no menyuu desu. Karee wa nanahyaku-en desu. Raamen wa roppyaku-en desu. Mizu wa muryou desu. Koohii wa sanbyaku-en desu.,Ini menu restoran. Kari 700 yen. Ramen 600 yen. Air gratis. Kopi 300 yen.,52,49,3,vocab_n5_0706|vocab_n5_0183|vocab_n5_0638|vocab_n5_0251,レストラン|メニュー|カレー|七百円|ラーメン|六百円|水|無料|コーヒー|三百円,grm_n5_052|grm_n5_079|grm_n5_002,の|は|です,kanji_n5_042|kanji_n5_048|kanji_n5_033|kanji_n5_037|kanji_n5_054|kanji_n5_013,七百円六水三,"{""menu"": [{""item"": ""カレー"", ""price_yen"": 700}, {""item"": ""ラーメン"", ""price_yen"": 600}, {""item"": ""水"", ""price_yen"": 0}, {""item"": ""コーヒー"", ""price_yen"": 300}]}",true,true,false,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original N5-style reading passage. Not copied from official JLPT.
read_n5_0008,N5,curated_original_reading_n5,8,station_meeting,駅で会います,,meeting,1,message,ミナさんへ。明日、駅の前で会いましょう。時間は九時半です。私は青いかばんを持っています。,"Mina-san e. Ashita, eki no mae de aimashou. Jikan wa ku-ji han desu. Watashi wa aoi kaban o motte imasu.","Untuk Mina. Besok, mari bertemu di depan stasiun. Waktunya jam 9.30. Saya membawa tas biru.",44,43,3,vocab_n5_0016|vocab_n5_0092|vocab_n5_0621|vocab_n5_0002|vocab_n5_0294|vocab_n5_0714|vocab_n5_0004|vocab_n5_0172|vocab_n5_0661,明日|駅|前|会う|時間|九時半|私|青い|かばん|持つ,grm_n5_051|grm_n5_052|grm_n5_005|grm_n5_032|grm_n5_079|grm_n5_060,へ|の|で|ましょう|は|を|ています,kanji_n5_001|kanji_n5_083|kanji_n5_020|kanji_n5_085|kanji_n5_014|kanji_n5_023|kanji_n5_029|kanji_n5_055,日駅前会時間九半,{},true,true,false,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original N5-style reading passage. Not copied from official JLPT.
read_n5_0009,N5,curated_original_reading_n5,9,library_notice,図書館のお知らせ,,notice,2,notice,図書館のお知らせです。月曜日から金曜日まで、午前九時から午後六時まで開いています。土曜日は午後三時までです。日曜日は休みです。,"Toshokan no oshirase desu. Getsuyoubi kara kin'youbi made, gozen ku-ji kara gogo roku-ji made aite imasu. Doyoubi wa gogo san-ji made desu. Nichiyoubi wa yasumi desu.",Pengumuman perpustakaan. Senin sampai Jumat buka 09.00 sampai 18.00. Sabtu sampai pukul 15.00. Minggu libur.,63,67,3,vocab_n5_0460|vocab_n5_0239|vocab_n5_0215|vocab_n5_0256|vocab_n5_0253|vocab_n5_0009|vocab_n5_0470|vocab_n5_0501|vocab_n5_0671,図書館|お知らせ|月曜日|金曜日|午前|九時|午後|六時|開く|土曜日|三時|日曜日|休み,grm_n5_023|grm_n5_029|grm_n5_079,から|まで|ています|は,kanji_n5_049|kanji_n5_017|kanji_n5_001|kanji_n5_028|kanji_n5_047|kanji_n5_020|kanji_n5_029|kanji_n5_014|kanji_n5_019|kanji_n5_037|kanji_n5_061|kanji_n5_013|kanji_n5_078,書月日金午前九時後六土三休,"{""hours"": {""mon_fri"": ""09:00-18:00"", ""sat"": ""09:00-15:00"", ""sun"": ""closed""}}",true,true,false,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original N5-style reading passage. Not copied from official JLPT.
read_n5_0010,N5,curated_original_reading_n5,10,class_schedule,今日の時間割,,schedule,2,schedule,今日の時間割です。一時間目は日本語です。二時間目は数学です。昼休みの後で、英語があります。体育はありません。,"Kyou no jikanwari desu. Ichi-jikanme wa nihongo desu. Ni-jikanme wa suugaku desu. Hiru-yasumi no ato de, eigo ga arimasu. Taiiku wa arimasen.",Ini jadwal hari ini. Pelajaran pertama bahasa Jepang. Pelajaran kedua matematika. Setelah istirahat siang ada bahasa Inggris. Tidak ada olahraga.,54,60,3,vocab_n5_0204|vocab_n5_0027|vocab_n5_0090,今日|時間割|一時間目|日本語|二時間目|数学|昼休み|後|英語|体育,grm_n5_052|grm_n5_079|grm_n5_002|grm_n5_087|grm_n5_012|grm_n5_105,の|は|です|後で|あります|ありません,kanji_n5_027|kanji_n5_001|kanji_n5_014|kanji_n5_023|kanji_n5_002|kanji_n5_102|kanji_n5_009|kanji_n5_060|kanji_n5_008|kanji_n5_031|kanji_n5_078|kanji_n5_019,今日時間一目本語二学休後,"{""schedule"": [{""period"": 1, ""subject"": ""日本語""}, {""period"": 2, ""subject"": ""数学""}, {""after_lunch"": ""英語""}, {""not_today"": ""体育""}]}",true,true,false,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original N5-style reading passage. Not copied from official JLPT.
read_n5_0011,N5,curated_original_reading_n5,11,weather_plan,雨の日,,weather,2,short_story,今日は朝から雨です。私は公園へ行きたかったですが、行きませんでした。家で本を読んで、音楽を聞きました。午後、雨が止みました。,"Kyou wa asa kara ame desu. Watashi wa kouen e ikitakatta desu ga, ikimasen deshita. Ie de hon o yonde, ongaku o kikimashita. Gogo, ame ga yamimashita.","Hari ini hujan sejak pagi. Saya ingin pergi ke taman, tetapi tidak pergi. Di rumah saya membaca buku dan mendengarkan musik. Sore/siang, hujan berhenti.",62,66,3,vocab_n5_0204|vocab_n5_0012|vocab_n5_0037|vocab_n5_0714|vocab_n5_0245|vocab_n5_0049|vocab_n5_0047|vocab_n5_0610|vocab_n5_0690|vocab_n5_0139|vocab_n5_0193|vocab_n5_0253,今日|朝|雨|私|公園|行く|家|本|読む|音楽|聞く|午後|止む,grm_n5_023|grm_n5_067|grm_n5_011|grm_n5_093|grm_n5_005|grm_n5_009|grm_n5_092,から|たい|が|ませんでした|で|て|ました,kanji_n5_027|kanji_n5_001|kanji_n5_080|kanji_n5_015|kanji_n5_009|kanji_n5_075|kanji_n5_063|kanji_n5_047|kanji_n5_019,今日雨行本読聞午後,{},true,true,false,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original N5-style reading passage. Not copied from official JLPT.
read_n5_0012,N5,curated_original_reading_n5,12,doctor_visit,病院へ行きました,,health,2,short_story,昨日、頭が痛かったです。学校を休んで、病院へ行きました。医者は「薬を飲んで、早く寝てください」と言いました。,"Kinou, atama ga itakatta desu. Gakkou o yasunde, byouin e ikimashita. Isha wa 'kusuri o nonde, hayaku nete kudasai' to iimashita.","Kemarin kepala saya sakit. Saya tidak masuk sekolah dan pergi ke rumah sakit. Dokter berkata, “Minumlah obat dan tidurlah lebih awal.”",54,60,3,vocab_n5_0200|vocab_n5_0020|vocab_n5_0056|vocab_n5_0168|vocab_n5_0672|vocab_n5_0570|vocab_n5_0049|vocab_n5_0053|vocab_n5_0217|vocab_n5_0515|vocab_n5_0543|vocab_n5_0510|vocab_n5_0046,昨日|頭|痛い|学校|休む|病院|行く|医者|薬|飲む|早い|寝る|言う,grm_n5_011|grm_n5_060|grm_n5_009|grm_n5_051|grm_n5_072,が|かったです|を|て|へ|てください|と言いました,kanji_n5_001|kanji_n5_031|kanji_n5_059|kanji_n5_078|kanji_n5_015|kanji_n5_082|kanji_n5_088,日学校休行飲言,{},true,true,false,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original N5-style reading passage. Not copied from official JLPT.
read_n5_0013,N5,curated_original_reading_n5,13,direction_postoffice,郵便局まで,,directions,2,direction,駅を出て、まっすぐ行ってください。二つ目の角を右に曲がります。郵便局は銀行の隣です。歩いて五分ぐらいです。,"Eki o dete, massugu itte kudasai. Futatsume no kado o migi ni magarimasu. Yuubinkyoku wa ginkou no tonari desu. Aruite go-fun gurai desu.","Keluar dari stasiun, lalu jalan lurus. Belok kanan di sudut kedua. Kantor pos ada di sebelah bank. Sekitar lima menit berjalan kaki.",53,59,3,vocab_n5_0092|vocab_n5_0436|vocab_n5_0629|vocab_n5_0049|vocab_n5_0171|vocab_n5_0636|vocab_n5_0678|vocab_n5_0214|vocab_n5_0465|vocab_n5_0042,駅|出る|まっすぐ|行く|二つ目|角|右|曲がる|郵便局|銀行|隣|歩く|五分|ぐらい,grm_n5_072|grm_n5_052|grm_n5_060|grm_n5_048|grm_n5_079|grm_n5_002|grm_n5_085,てください|の|を|に|は|です|ぐらい,kanji_n5_083|kanji_n5_012|kanji_n5_015|kanji_n5_008|kanji_n5_102|kanji_n5_074|kanji_n5_022|kanji_n5_018,駅出行二目右五分,{},true,true,false,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original N5-style reading passage. Not copied from official JLPT.
